step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,total_vehicle,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,11.680423989536814,24,0,0.0,0.8336232832216011,0,0.0,0.9169118566070705,0,0.0,0.7817108660184854,0,0.0,0.8571920494601887,0,0.0
10.0,0,0.0,0.0,11.794095674654377,24,0,0.0,0.8843246099844592,0,0.0,0.7894011464765559,0,0.0,0.8484493917869802,0,0.0,0.9056446591264912,0,0.0
15.0,4,10.0,0.4166666666666667,6.340677252369314,24,0,0.0,0.3866146355068834,3,7.0,0.318558621283558,1,3.0,0.3773923428414689,0,0.0,0.5787180854861516,4,10.0
20.0,14,74.0,3.0833333333333335,5.647266891524493,24,4,18.0,0.3192708742301387,4,27.0,0.31971615473991144,3,16.0,0.23040933769324204,3,13.0,0.4800307695281001,14,74.0
25.0,13,132.0,5.739130434782608,3.8162449900559356,23,4,38.0,0.17089088231043992,3,35.0,0.11781895915695302,3,31.0,0.22385306647663455,3,28.0,0.11999984211010357,13,132.0
30.0,16,195.0,8.863636363636363,2.9641280764076865,22,4,47.0,2.426292202496391e-06,4,53.0,0.00011911233791134162,3,46.0,0.007235248295334775,5,49.0,3.1018203559406324e-05,16,195.0
35.0,17,280.0,14.0,2.1778590410008554,20,4,67.0,0.0,4,75.0,0.19132703285070823,4,66.0,0.0,5,74.0,0.0,17,282.0
40.0,16,352.0,19.555555555555557,1.0222390676768307,18,4,87.0,0.0,3,82.0,0.2383830926509237,4,86.0,0.0,5,99.0,0.0,16,354.0
45.0,16,432.0,24.0,0.7224465823333436,18,4,107.0,0.0,3,97.0,0.0025133248230383896,4,106.0,0.0,5,124.0,0.0,16,434.0
50.0,16,497.0,27.61111111111111,1.0599099411461566,18,4,127.0,0.0,4,117.0,0.0,3,106.0,0.0,5,149.0,0.0,16,499.0
55.0,16,577.0,33.94117647058823,0.6159048151734856,17,4,147.0,0.0,4,137.0,0.0,3,121.0,0.0,5,174.0,0.0,16,579.0
60.0,10,414.0,24.352941176470587,2.5629185224746682,17,1,86.0,0.1533222415204384,4,157.0,0.0,3,136.0,0.0,2,119.0,0.08495098066706835,10,498.0
65.0,8,361.0,22.5625,5.184030645629937,16,1,50.0,0.0,4,179.0,0.3023105988025288,1,98.0,0.525201750935915,2,88.0,0.0,8,415.0
70.0,8,401.0,25.0625,6.3169933218457075,16,1,55.0,0.0,4,199.0,0.30427353119436445,1,55.0,0.6093168208752626,2,100.0,0.31455221962793994,8,409.0
75.0,9,442.0,31.571428571428573,3.5638113853239486,14,1,60.0,0.0,5,220.0,0.0011331533617869136,1,58.0,0.005435586743296001,2,110.0,0.27226526640003285,9,448.0
80.0,10,489.0,37.61538461538461,2.239597467962384,13,1,65.0,0.0,5,245.0,7.081724778303551e-06,1,63.0,0.0,3,122.0,0.000628607005020144,10,495.0
85.0,10,539.0,41.46153846153846,2.8364351215218986,13,1,70.0,0.0,5,270.0,0.0,1,68.0,0.0,3,137.0,0.0,10,545.0
90.0,10,589.0,53.54545454545455,1.324999569663526,11,1,75.0,0.0,5,295.0,0.0,1,73.0,0.0,3,152.0,0.0,10,595.0
95.0,10,639.0,63.9,0.0,10,1,80.0,0.0,5,320.0,0.0,1,78.0,0.0,3,167.0,0.0,10,645.0
100.0,10,689.0,68.9,0.0,10,1,85.0,0.0,5,345.0,0.0,1,83.0,0.0,3,182.0,0.0,10,695.0
105.0,10,739.0,73.9,0.0,10,1,90.0,0.0,5,370.0,0.0,1,88.0,0.0,3,197.0,0.0,10,745.0
110.0,10,789.0,78.9,0.0,10,1,95.0,0.0,5,395.0,0.0,1,93.0,0.0,3,212.0,0.0,10,795.0
115.0,10,839.0,83.9,0.0,10,1,100.0,0.0,5,420.0,0.0,1,98.0,0.0,3,227.0,0.0,10,845.0
120.0,10,889.0,88.9,0.0,10,1,105.0,0.0,5,445.0,0.0,1,103.0,0.0,3,242.0,0.0,10,895.0
125.0,5,538.0,53.8,2.462688750521264,10,1,110.0,0.0,1,271.0,0.1690132769104812,1,108.0,0.0,2,208.0,0.0,5,697.0
130.0,5,563.0,56.3,6.670049982433236,10,1,117.0,0.49604413483302207,1,117.0,0.0,1,113.0,0.0,2,218.0,0.0,5,565.0
135.0,5,588.0,58.8,6.488090376189471,10,1,122.0,0.4732696061026605,1,122.0,0.0,1,118.0,0.0,2,228.0,0.0,5,590.0
140.0,5,613.0,87.57142857142857,3.6647075871128805,7,1,125.0,0.0,1,127.0,0.0,1,123.0,0.0,2,238.0,0.0,5,613.0
145.0,5,638.0,31.9,10.123898747642512,20,1,130.0,0.8,1,132.0,0.8,1,128.0,0.75,2,248.0,0.6,5,638.0
150.0,5,663.0,22.862068965517242,10.041027892294483,29,1,135.0,0.7912323427751521,1,137.0,0.8045269646814012,1,133.0,0.732339854982716,2,258.0,0.6820427592365147,5,663.0
155.0,5,688.0,23.724137931034484,9.231417455395386,29,1,140.0,0.6623609896589538,1,142.0,0.6782933412663192,1,138.0,0.7152118707542426,2,268.0,0.6326064400621823,5,688.0
160.0,14,729.0,25.137931034482758,3.7009916200087045,29,4,150.0,0.003472767453709812,3,151.0,0.28669803730571014,3,147.0,0.23718496676538975,4,281.0,0.22052187358267444,14,729.0
165.0,19,822.0,28.344827586206897,3.9869741098673854,29,5,175.0,0.2624476102559887,5,176.0,0.19307526294551344,4,166.0,0.18890463653276435,5,305.0,0.2671777275932607,19,822.0
170.0,20,919.0,31.689655172413794,3.2848210965490345,29,5,200.0,0.26601147562169597,6,203.0,0.004141305542499212,4,186.0,0.0,5,330.0,0.11906500582462409,20,919.0
175.0,18,984.0,37.84615384615385,1.967956724573921,26,4,211.0,0.10425302294982272,4,213.0,0.04038352127348453,4,206.0,0.0,6,358.0,9.304245305223987e-05,18,988.0
180.0,20,1082.0,45.083333333333336,2.1585328448171146,24,6,239.0,0.134096257668834,4,233.0,0.19007639471890833,4,226.0,0.0,6,388.0,0.0,20,1086.0
185.0,20,1182.0,49.25,2.197754474727994,24,6,269.0,0.13308154866461322,4,253.0,0.1924692306865617,4,246.0,0.0,6,418.0,0.0,20,1186.0
190.0,19,1256.0,57.09090909090909,0.4202191542379875,22,5,284.0,0.03807925330622478,4,275.0,0.07346995578981055,4,266.0,0.0,6,448.0,0.0,19,1273.0
195.0,17,1279.0,58.13636363636363,1.8522800763002607,22,5,298.0,0.0,2,254.0,0.29703057875713135,4,286.0,0.0,6,478.0,0.0,17,1316.0
200.0,17,1364.0,62.0,2.919114209381631,22,5,325.0,0.1638146531201245,2,231.0,0.3042487001461112,4,306.0,0.0,6,508.0,0.0,17,1370.0
205.0,14,1326.0,63.142857142857146,2.980225468113962,21,5,350.0,0.1173448982472753,2,239.0,0.0,4,326.0,0.0,3,457.0,0.0634064979684653,14,1372.0
210.0,13,1298.0,68.3157894736842,3.232220878652362,19,6,377.0,0.0003607785681430464,2,249.0,0.3191397080799742,2,295.0,0.27836052094709174,3,430.0,0.0,13,1351.0
215.0,13,1363.0,75.72222222222223,3.468290144181763,18,6,407.0,0.0,2,259.0,0.32330452109398294,2,258.0,0.3139010446091613,3,447.0,0.23616841427013222,13,1371.0
220.0,13,1428.0,84.0,3.0172611358722854,17,6,437.0,0.0,2,269.0,0.0,2,266.0,0.0,3,462.0,0.24102672053626148,13,1434.0
225.0,13,1493.0,93.3125,1.8034017971953227,16,6,467.0,0.0,2,279.0,0.0,2,276.0,0.0,3,477.0,0.015267807611889136,13,1499.0
230.0,14,1562.0,111.57142857142857,0.0,14,6,497.0,0.0,2,289.0,0.0,2,286.0,0.0,4,496.0,0.0,14,1568.0
235.0,14,1632.0,116.57142857142857,0.0,14,6,527.0,0.0,2,299.0,0.0,2,296.0,0.0,4,516.0,0.0,14,1638.0
240.0,14,1702.0,121.57142857142857,0.0,14,6,557.0,0.0,2,309.0,0.0,2,306.0,0.0,4,536.0,0.0,14,1708.0
245.0,10,1137.0,81.21428571428571,1.2375945363178313,14,6,587.0,0.0,0,85.0,0.19301828776973903,0,86.0,0.21681858728799394,4,556.0,0.0,10,1314.0
250.0,10,1187.0,84.78571428571429,3.2877349875209556,14,6,619.0,0.20934851667534982,0,0.0,1.0,0,0.0,1.0,4,578.0,0.2967814430592605,10,1197.0
255.0,10,1237.0,88.35714285714286,3.3967588533105446,14,6,649.0,0.21337451868325386,0,0.0,1.0,0,0.0,1.0,4,598.0,0.3084557726007519,10,1247.0
260.0,10,1287.0,91.92857142857143,3.4186338680671566,14,6,677.0,0.10827751306335935,0,0.0,1.0,0,0.0,0.9382641962956457,4,616.0,0.0,10,1293.0
265.0,10,1337.0,95.5,2.862673902494614,14,6,707.0,0.0,0,0.0,1.0,0,0.0,0.7192610428763717,4,636.0,0.0,10,1343.0
270.0,10,1345.0,96.07142857142857,1.7679769643180816,14,6,737.0,0.0,0,0.0,1.0,1,2.0,0.022847205231189764,3,610.0,0.0,10,1349.0
275.0,7,1014.0,72.42857142857143,3.6784727889878455,14,2,558.0,0.1381178934707617,0,0.0,1.0,2,11.0,0.0,3,625.0,0.0,7,1194.0
280.0,7,1049.0,87.41666666666667,5.2322880109403425,12,2,388.0,0.0,0,2.0,0.9599794708310038,2,21.0,0.30782830738791067,3,640.0,0.0,7,1051.0
285.0,7,1084.0,98.54545454545455,4.7600792281605795,11,2,398.0,0.0,0,2.0,0.870228068711221,2,31.0,0.3234091407020157,3,655.0,0.0,7,1086.0
290.0,9,1123.0,36.225806451612904,8.847533147166702,31,2,408.0,0.6672441703915843,1,5.0,0.7362018199188395,3,42.0,0.576767623179807,3,670.0,0.5732303932346554,9,1125.0
295.0,9,1168.0,35.39393939393939,9.275955636084744,33,2,418.0,0.6687689324930348,1,10.0,0.7821407805634054,3,57.0,0.636303640625779,3,685.0,0.5977840208920403,9,1170.0
300.0,8,1202.0,36.42424242424242,7.181042899241437,33,2,428.0,0.4648667053627252,1,15.0,0.5309300874794173,2,61.0,0.5309047261037744,3,700.0,0.39017721926555426,8,1204.0
305.0,20,1274.0,38.60606060606061,4.642611266669776,33,5,447.0,0.38420549386859365,4,28.0,0.27536046032101735,5,76.0,0.1667832473249415,6,725.0,0.13372710114080885,20,1276.0
310.0,22,1384.0,41.93939393939394,4.3135019442154885,33,6,477.0,0.2661174514659134,5,53.0,0.26568568560589284,5,101.0,5.569154642023049e-06,6,755.0,0.0,22,1386.0
315.0,19,1445.0,48.166666666666664,3.354060470981894,30,5,494.0,0.07294554894671386,5,78.0,0.16259367302847882,5,126.0,0.0,4,768.0,0.04546362497700384,19,1466.0
320.0,20,1544.0,51.46666666666667,4.340781285578001,30,6,515.0,5.146716625536396e-05,5,105.0,0.286673768340527,5,153.0,0.2545688692432199,4,777.0,0.0,20,1550.0
325.0,20,1622.0,62.38461538461539,2.631415450749226,26,6,545.0,0.0,5,108.0,0.2656376974416028,5,178.0,0.1882721729228278,4,797.0,0.0,20,1628.0
330.0,21,1697.0,67.88,0.9526532692930385,25,4,557.0,0.051736791590722864,6,136.0,0.053162561703499485,7,207.0,0.0003288999445863041,4,817.0,0.0,21,1717.0
335.0,21,1801.0,72.04,1.8992918398149794,25,4,565.0,0.0,7,171.0,0.12322248148414076,6,236.0,0.0,4,837.0,0.0,21,1809.0
340.0,20,1895.0,78.95833333333333,1.4763761960332094,24,4,585.0,0.0,6,195.0,0.0043690821314847725,6,266.0,0.0,4,857.0,0.0,20,1903.0
345.0,21,1999.0,86.91304347826087,1.3305754969616108,23,4,605.0,0.0,7,229.0,3.063133859835032e-05,6,296.0,0.0,4,877.0,0.0,21,2007.0
