step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.74182312815169,0,0.0,0.9591389315599933,0,0.0,0.971041326615766,0,0.0,0.9472269144937526,0,0.0,0.9833824910924316,0,0.0
10.0,0,0.0,0.0,12.841801971640523,0,0.0,0.9310192644635276,0,0.0,0.9555085305063651,0,0.0,0.8877700135965342,0,0.0,0.9027135865856047,0,0.0
15.0,1,1.0,0.02702702702702703,11.478884389061024,0,0.0,0.8015917446251141,0,0.0,0.766304217523018,1,1.0,0.8247606396208049,0,0.0,0.9345967691716645,1,1.0
20.0,9,27.0,0.5294117647058824,9.91212063325472,2,8.0,0.7520865676269934,3,9.0,0.6213367842645647,3,9.0,0.5962906785945876,1,1.0,0.8349494640857447,9,27.0
25.0,14,85.0,1.3934426229508197,8.782726577098714,4,23.0,0.6200963939099978,5,30.0,0.5450644270129666,4,26.0,0.5381233803128503,1,6.0,0.6752524635136641,14,85.0
30.0,24,187.0,2.460526315789474,7.522583743362363,8,55.0,0.46629725289180723,7,63.0,0.4252546484705743,4,46.0,0.6021205770421518,5,23.0,0.5614621569777065,24,187.0
35.0,37,345.0,4.0588235294117645,6.247282846592693,12,111.0,0.315150002974262,11,112.0,0.383979239048191,6,70.0,0.5241872325944561,8,52.0,0.4688632011997497,37,345.0
40.0,46,549.0,5.840425531914893,5.08665728965191,16,185.0,0.27182061717877504,12,168.0,0.30869686824968906,8,103.0,0.43326848299326687,10,96.0,0.26757704141472016,46,552.0
45.0,58,815.0,7.761904761904762,4.396282163462421,18,273.0,0.23992895429522093,15,239.0,0.30150469707252747,10,148.0,0.2892160132583701,15,155.0,0.28343944300452817,58,815.0
50.0,69,1140.0,10.178571428571429,3.716827150581881,22,375.0,0.10820377836293635,18,324.0,0.2430334374183214,13,206.0,0.2122057746126661,16,235.0,0.2999907393661528,69,1140.0
55.0,77,1439.0,11.991666666666667,3.4508589485565304,27,507.0,0.123802583789696,21,422.0,0.2111717473570967,14,276.0,0.21163886956218173,15,269.0,0.35086686311194343,77,1474.0
60.0,85,1816.0,13.552238805970148,3.568497014396153,29,650.0,0.21327037309122712,24,537.0,0.15609948223913703,16,352.0,0.2903723310630744,16,309.0,0.24512811418975736,85,1848.0
65.0,97,2278.0,16.388489208633093,3.1164745288373035,33,806.0,0.12149745109870944,27,666.0,0.2077760478324421,16,432.0,0.2035727879279459,21,377.0,0.2315691373918847,97,2281.0
70.0,106,2673.0,17.70198675496689,2.641982368888423,36,982.0,0.08778336485621778,29,805.0,0.23304042868582026,18,468.0,0.18050956576625932,23,485.0,0.10711300122003276,106,2740.0
75.0,120,3248.0,20.3,2.497764769277257,38,1169.0,0.13131264723468122,31,957.0,0.20284273894285135,21,497.0,0.20787283664475267,30,626.0,0.06783070137809477,120,3249.0
80.0,132,3885.0,23.263473053892216,2.081152530618157,41,1371.0,0.09662151067010946,33,1119.0,0.15851762048182072,24,609.0,0.16666181325139517,34,787.0,0.09797119670440009,132,3886.0
85.0,137,4482.0,26.5207100591716,1.636682038980423,48,1598.0,0.035319101037980936,35,1289.0,0.07817849165060854,23,716.0,0.13516482549252568,31,928.0,0.1594746190474486,137,4531.0
