step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,total_vehicle,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.671617549218107,24,0,0.0,0.8882120041049402,0,0.0,0.9232254146262223,0,0.0,0.8912146633565738,0,0.0,0.8732509178379771,0,0.0
10.0,0,0.0,0.0,12.534620257241437,24,0,0.0,0.9066431833728136,0,0.0,0.9207258305563589,0,0.0,0.8340948570904042,0,0.0,0.8915112961344441,0,0.0
15.0,8,14.0,0.5833333333333334,5.9827123961230155,24,3,4.0,0.21021597232462758,2,3.0,0.335498530837453,1,3.0,0.2795064349757972,2,4.0,0.4836232157021248,8,14.0
20.0,14,76.0,3.1666666666666665,5.291366651874516,24,4,21.0,0.3106827003610266,4,21.0,0.3185794205156933,3,16.0,0.2417989694974998,3,18.0,0.3737255428365433,14,76.0
25.0,15,148.0,6.434782608695652,4.1121343803212635,23,4,41.0,0.17668492237727207,4,41.0,0.0,3,31.0,0.0,4,35.0,0.014098581848206579,15,148.0
30.0,15,198.0,9.0,3.626874377138782,22,4,47.0,0.00026211334158491456,3,45.0,0.0,3,46.0,0.0,5,60.0,0.0,15,198.0
35.0,15,273.0,15.166666666666666,2.248518904519371,18,4,67.0,0.0,3,62.0,0.23927870835311277,3,61.0,0.0,5,85.0,0.0,15,275.0
40.0,15,348.0,20.470588235294116,1.5516507706633706,17,4,87.0,0.0,3,77.0,0.2368080635186288,3,76.0,0.0,5,110.0,0.0,15,350.0
45.0,15,423.0,26.4375,0.025983950619838648,16,4,107.0,0.0,3,92.0,0.0075507357781846975,3,91.0,0.0,5,135.0,0.0,15,425.0
50.0,16,502.0,31.375,1.1233659299231589e-05,16,4,127.0,0.0,4,111.0,3.264414808650522e-06,3,106.0,0.0,5,160.0,0.0,16,504.0
55.0,16,582.0,36.375,0.0,16,4,147.0,0.0,4,131.0,0.0,3,121.0,0.0,5,185.0,0.0,16,584.0
60.0,8,322.0,20.125,2.3268174215908886,16,1,87.0,0.09935881470388301,4,151.0,0.0,1,86.0,0.108593404870275,2,124.0,0.0807730807141012,8,448.0
65.0,5,243.0,15.1875,7.269625891243179,16,1,52.0,0.0,1,98.0,0.48739744462639245,1,51.0,0.5728493350631442,2,94.0,0.3223236493388525,5,295.0
70.0,5,268.0,16.75,9.364878673264084,16,1,59.0,0.48289644759932276,1,57.0,0.6239314186739428,1,56.0,0.6323902246050053,2,104.0,0.31952720673030605,5,276.0
75.0,5,293.0,7.918918918918919,9.72869302608579,37,1,64.0,0.7557068799608574,1,60.0,0.6304358204506707,1,59.0,0.6409141319174632,2,112.0,0.5728592731472866,5,295.0
80.0,6,319.0,9.114285714285714,10.423365523757477,35,2,70.0,0.6787010626864106,1,65.0,0.7847744511550819,1,64.0,0.7812465720039906,2,122.0,0.6771784493144586,6,321.0
85.0,7,350.0,10.606060606060606,6.510514862382447,33,2,80.0,0.4114587491541414,1,70.0,0.1828524908174134,1,69.0,0.3779622142664276,3,133.0,0.5058894538229648,7,352.0
90.0,20,431.0,13.903225806451612,4.614121938933389,31,6,103.0,0.3090327876070338,5,88.0,0.25798206414621233,4,86.0,0.18033269229650686,5,156.0,0.26502189675760324,20,433.0
95.0,20,531.0,17.7,3.313029290172869,30,6,133.0,0.212411702671593,5,113.0,0.2528849770230744,4,106.0,0.18275634717883465,5,181.0,0.1026673304049095,20,533.0
100.0,20,575.0,20.535714285714285,0.9634132933868997,28,3,126.0,0.06521874966894763,5,124.0,0.034707515629541046,5,127.0,0.001471475656775971,7,211.0,0.00020569871107965982,20,588.0
105.0,23,689.0,24.607142857142858,2.326727158435041,28,5,137.0,4.607240047294924e-05,6,156.0,0.1317269039743274,5,152.0,0.1292787402896159,7,246.0,0.0,23,691.0
110.0,22,791.0,28.25,2.7430236006413367,28,5,162.0,0.0,6,186.0,0.12200756691824115,5,177.0,0.1625540342278908,6,268.0,0.0,22,793.0
115.0,18,826.0,33.04,1.794402954510457,25,3,170.0,0.06493076303892452,5,201.0,0.09652968235602821,4,186.0,0.058131626017433116,6,298.0,0.0,18,855.0
120.0,18,916.0,36.64,3.679725407406604,25,3,173.0,0.0,5,213.0,0.15443418856254268,4,206.0,0.0,6,328.0,0.0,18,920.0
125.0,18,1006.0,41.916666666666664,2.8886498363577053,24,3,188.0,0.0,5,238.0,0.073395788322502,4,226.0,0.0,6,358.0,0.0,18,1010.0
130.0,14,890.0,46.8421052631579,1.1190647500767832,19,3,203.0,0.0,6,265.0,2.7935747211586888e-05,2,199.0,0.061863205574989526,3,309.0,0.05677559611256186,14,976.0
135.0,13,913.0,48.05263157894737,3.5321014488454634,19,2,171.0,0.0,6,295.0,0.13023198267557243,2,170.0,0.3025255810791059,3,285.0,0.23690966008631564,13,921.0
140.0,11,798.0,42.0,4.333796209889265,19,2,181.0,0.0,4,200.0,0.2946620939883653,2,180.0,0.3236737028462624,3,300.0,0.23054897380504005,11,861.0
145.0,12,854.0,27.548387096774192,7.339768655700418,31,2,191.0,0.6666666666666666,4,167.0,0.5335459291603201,2,190.0,0.5024361151374692,4,318.0,0.5279166274911445,12,866.0
150.0,14,921.0,22.463414634146343,7.69257704211908,41,2,201.0,0.6771717151555849,5,190.0,0.44565161480639975,3,204.0,0.5667622476364017,4,338.0,0.5542213729312553,14,933.0
155.0,14,988.0,24.097560975609756,6.534367532128684,41,2,211.0,0.557530624353755,5,212.0,0.4072944224315566,3,219.0,0.4667251982903192,4,356.0,0.4192685559027115,14,998.0
160.0,26,1085.0,26.463414634146343,3.0990279353585914,41,5,226.0,0.2374687722125559,8,243.0,0.14996767253781834,6,242.0,0.2856252732679176,7,384.0,0.11302125466382326,26,1095.0
165.0,31,1236.0,30.146341463414632,2.742626699937493,41,6,256.0,0.23243804169370397,9,287.0,2.0904069434498247e-06,6,272.0,0.22645086622447902,10,431.0,0.12206824856970899,31,1246.0
170.0,33,1396.0,35.794871794871796,1.3019045373763216,39,6,286.0,0.1304298816971397,9,332.0,0.07842452984524977,7,303.0,0.009737775782148279,11,485.0,0.07940148563066145,33,1406.0
175.0,32,1513.0,38.794871794871796,1.015642211894368,39,5,300.0,0.021531576462187046,10,379.0,0.00012260524724018148,9,346.0,2.854309280621746e-06,8,522.0,0.11333084852905535,32,1547.0
180.0,33,1678.0,43.02564102564103,1.7693722374053846,39,6,330.0,0.0,10,433.0,0.21651904218771104,9,391.0,0.0,8,538.0,0.0,33,1692.0
185.0,32,1828.0,48.10526315789474,1.496721142059885,38,6,360.0,0.0,10,483.0,0.16569863995571835,8,421.0,0.0,8,578.0,0.0,32,1842.0
190.0,32,1961.0,53.0,0.792342287881905,37,6,390.0,0.0,10,506.0,0.023349716263086167,8,461.0,0.0,8,618.0,0.0,32,1975.0
195.0,34,2129.0,59.138888888888886,0.6657491743037043,36,6,420.0,0.0,12,564.0,0.0,8,501.0,0.0,8,658.0,0.0,34,2143.0
200.0,34,2299.0,65.68571428571428,0.3216174858326868,35,6,450.0,0.0,12,624.0,7.390543142759856e-07,8,541.0,0.0,8,698.0,0.0,34,2313.0
205.0,29,2320.0,68.23529411764706,0.6843044319883098,34,3,402.0,0.041601065097897585,10,665.0,0.021638545792417477,8,581.0,0.0,8,738.0,0.0,29,2386.0
210.0,29,2465.0,72.5,1.8497512741645974,34,3,374.0,0.0,10,706.0,0.08612601088036022,8,621.0,0.10040153263673417,8,778.0,0.0,29,2479.0
215.0,29,2610.0,76.76470588235294,1.575294629371884,34,3,389.0,0.0,10,756.0,0.02237898840396682,8,661.0,0.10363740326171127,8,818.0,0.0,29,2624.0
220.0,31,2760.0,50.18181818181818,4.961294819249501,55,3,404.0,0.6094447738453614,11,810.0,0.2732774290378968,9,702.0,0.3081709646082401,8,858.0,0.3680159649233619,31,2774.0
225.0,30,2909.0,52.89090909090909,5.311224239913516,55,3,419.0,0.600567830315339,11,865.0,0.32040100998684057,8,741.0,0.3696300258692386,8,898.0,0.3537496865854176,30,2923.0
230.0,38,3074.0,55.89090909090909,1.8117251764875308,55,5,436.0,0.025628850117798113,13,924.0,0.017624533157514805,10,784.0,0.18336393328307565,10,944.0,0.036189994495620235,38,3088.0
235.0,48,3306.0,60.10909090909091,1.5492608369883278,55,7,469.0,0.24438292613082852,16,1001.0,1.1498251956894033e-05,11,839.0,0.07702818216375308,14,1011.0,3.7213368610592636e-05,48,3320.0
240.0,48,3546.0,65.66666666666667,1.292522372116604,54,7,504.0,0.23928848933383776,16,1081.0,5.080402274717789e-07,11,894.0,0.0,14,1081.0,0.0,48,3560.0
245.0,42,3696.0,71.07692307692308,1.1610718171658028,52,6,524.0,0.13099955365671317,14,1143.0,0.01995553096428081,11,949.0,0.0,11,1131.0,0.02803241484967441,42,3747.0
250.0,45,3914.0,76.74509803921569,1.5324965911208368,51,9,562.0,0.09951311467084574,14,1205.0,0.16273970737547638,11,1004.0,0.0,11,1163.0,0.07961273494538537,45,3934.0
255.0,46,4140.0,81.17647058823529,1.3234667706253784,51,9,607.0,0.09110996921267266,15,1276.0,0.11264360279355512,11,1059.0,0.0,11,1218.0,0.08022857160829348,46,4160.0
260.0,43,4332.0,84.94117647058823,1.2749307747086356,51,6,634.0,0.03374214205754183,15,1351.0,0.02991360724560918,11,1114.0,0.0,11,1271.0,0.0,43,4370.0
265.0,44,4552.0,91.04,1.5061785907995517,50,7,649.0,0.0,15,1426.0,0.10214526216098262,11,1169.0,0.0,11,1326.0,0.0,44,4570.0
270.0,45,4773.0,101.55319148936171,0.36236836921053306,47,7,684.0,0.0,16,1502.0,0.01157958798544946,11,1224.0,0.0,11,1381.0,0.0,45,4791.0
275.0,42,4593.0,99.84782608695652,0.33567458549523627,46,7,719.0,0.0,17,1586.0,3.075636112743611e-05,7,1027.0,0.02458927439679173,11,1436.0,0.0,42,4768.0
280.0,42,4803.0,104.41304347826087,1.0690246925941838,46,7,754.0,0.0,17,1671.0,0.0,7,903.0,0.0,11,1493.0,0.0791323904275692,42,4821.0
285.0,42,5013.0,108.97826086956522,1.0340078987537666,46,7,789.0,0.0,17,1756.0,0.0,7,938.0,0.0,11,1548.0,0.04571319055436903,42,5031.0
290.0,43,5225.0,80.38461538461539,4.1490423791211315,65,7,824.0,0.39681736091457803,17,1841.0,0.20913875418573416,7,973.0,0.3672750705598155,12,1605.0,0.26152137360677885,43,5243.0
295.0,43,5440.0,81.19402985074628,4.505800344251792,67,7,859.0,0.4201165853439873,17,1926.0,0.2358954724350317,7,1008.0,0.40461529556409,12,1665.0,0.2936311238344825,43,5458.0
300.0,47,5662.0,84.50746268656717,2.146341183183854,67,8,895.0,0.2489378006356372,18,2014.0,0.04542980087801116,8,1044.0,0.20490875660787136,13,1727.0,0.13740046392413233,47,5680.0
305.0,59,5939.0,88.64179104477611,1.3682724795812082,67,11,944.0,0.24108543622977147,21,2117.0,1.968654884009073e-05,10,1089.0,0.08932718324118862,17,1807.0,0.052837322781537244,59,5957.0
310.0,60,6238.0,93.1044776119403,1.1573347092039776,67,11,999.0,0.24410133834776052,21,2222.0,0.0,10,1139.0,0.08466262201307419,18,1896.0,0.004701408911127805,60,6256.0
315.0,58,6491.0,98.34848484848484,0.3814879548384854,66,11,1042.0,0.030681050726107672,21,2327.0,0.0,11,1190.0,0.000317331132128015,15,1968.0,0.015454002963152844,58,6527.0
320.0,60,6773.0,102.62121212121212,1.0738085026537223,66,14,1109.0,1.4124093443948167e-05,20,2416.0,0.12366717154984977,11,1245.0,0.0,15,2025.0,0.0,60,6795.0
325.0,61,7074.0,107.18181818181819,1.0698529910449872,66,14,1179.0,0.0,21,2517.0,0.07370880316185134,11,1300.0,0.0,15,2100.0,0.0,61,7096.0
330.0,58,7321.0,114.390625,0.5353005432304353,64,11,1230.0,0.02576924106615203,22,2625.0,0.022722232657892822,10,1339.0,0.0,15,2175.0,0.0,58,7369.0
335.0,57,7605.0,120.71428571428571,0.8434256257675711,63,11,1261.0,0.0,21,2730.0,0.07223301281017255,10,1389.0,0.0,15,2250.0,0.0,57,7630.0
340.0,59,7896.0,125.33333333333333,0.8946238224025624,63,11,1316.0,0.0,23,2838.0,7.810290211027735e-05,10,1439.0,0.0,15,2325.0,0.0,59,7918.0
345.0,58,8150.0,133.60655737704917,0.5490081586001233,61,11,1371.0,0.0,23,2953.0,0.0,9,1448.0,0.0,15,2400.0,0.0,58,8172.0
350.0,58,8440.0,143.05084745762713,0.20751760716487647,59,11,1426.0,0.0,23,3068.0,0.0,9,1493.0,0.0,15,2475.0,0.0,58,8462.0
355.0,58,8730.0,147.96610169491527,0.20186136432821508,59,11,1481.0,0.0,23,3183.0,0.0,9,1538.0,0.0,15,2550.0,0.0,58,8752.0
360.0,58,9020.0,155.51724137931035,0.0,58,11,1536.0,0.0,23,3298.0,0.0,9,1583.0,0.0,15,2625.0,0.0,58,9042.0
365.0,52,8265.0,100.79268292682927,3.765935677611252,82,11,1591.0,0.3180469516300977,23,3413.0,0.17181835760015976,9,1628.0,0.3452730308103415,9,2264.0,0.32077666273202027,52,8896.0
