step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,total_vehicle,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.342875691014763,24,0,0.0,0.9151211853917983,0,0.0,0.9254149221171702,0,0.0,0.865421489167607,0,0.0,0.8844895083593999,0,0.0
10.0,0,0.0,0.0,12.298607434374569,24,0,0.0,0.9282754456340873,0,0.0,0.8765429726620253,0,0.0,0.9332099506319405,0,0.0,0.8558478471339074,0,0.0
15.0,9,15.0,0.625,5.713097491985614,24,3,4.0,0.19131868376453207,3,5.0,0.3123529038967316,0,0.0,0.47103098367925034,3,6.0,0.46957960033979407,9,15.0
20.0,13,76.0,3.1666666666666665,5.750215366799581,24,4,23.0,0.31663240484779803,3,19.0,0.37491982005516966,3,13.0,0.24428521720535668,3,21.0,0.47687285727272394,13,76.0
25.0,12,132.0,5.739130434782608,3.655280037457705,23,4,43.0,0.25864411520748026,3,34.0,0.053575002412573056,2,19.0,0.0,3,38.0,0.24541283502838862,12,134.0
30.0,18,197.0,8.954545454545455,1.8241269860392244,22,5,52.0,0.156143832423585,5,57.0,7.763062564097478e-05,2,29.0,0.0,6,63.0,0.08049997429102738,18,201.0
35.0,17,271.0,12.904761904761905,1.587555325999907,21,5,77.0,0.15381035003969049,3,72.0,0.23851893582833786,2,39.0,0.0,7,95.0,0.0005097581957048261,17,283.0
40.0,16,337.0,16.047619047619047,2.255011237858482,21,6,103.0,0.0002177466772154895,3,81.0,0.246883234932265,2,49.0,0.0,5,115.0,0.030522364356274964,16,348.0
45.0,15,396.0,18.857142857142858,2.782743048117134,21,4,115.0,0.044195913018102315,4,97.0,0.0018690570061526514,2,59.0,0.25327394795719443,5,133.0,0.0,15,404.0
50.0,15,471.0,24.789473684210527,2.610831565094678,19,4,129.0,0.0,4,117.0,0.0,2,69.0,0.30707966486620447,5,158.0,0.0,15,473.0
55.0,11,391.0,21.72222222222222,2.3847571677163497,18,4,149.0,0.0,3,96.0,0.0,2,79.0,0.010658494505288503,2,108.0,0.059294468543126956,11,432.0
60.0,9,327.0,19.235294117647058,4.61855306769956,17,1,88.0,0.12012558797497969,3,111.0,0.214310316581973,3,95.0,0.21556903348492418,2,79.0,0.0,9,373.0
65.0,9,372.0,23.25,5.574662526747025,16,1,51.0,0.0,3,128.0,0.389201779932357,3,110.0,0.31072165979362565,2,89.0,0.0,9,378.0
70.0,10,418.0,29.857142857142858,3.634453140870629,14,1,56.0,0.0,3,143.0,0.19454036409420986,4,126.0,0.18172845770050697,2,99.0,0.0,10,424.0
75.0,11,471.0,36.23076923076923,1.892326344628742,13,1,61.0,0.0,4,161.0,0.00020316565354741342,4,146.0,0.0,2,109.0,0.0,11,477.0
80.0,11,526.0,43.833333333333336,1.2359873213907846,12,1,66.0,0.0,4,181.0,0.0,4,166.0,0.0,2,119.0,0.0,11,532.0
85.0,11,581.0,52.81818181818182,0.0,11,1,71.0,0.0,4,201.0,0.0,4,186.0,0.0,2,129.0,0.0,11,587.0
90.0,8,466.0,42.36363636363637,1.2147536123765754,11,1,76.0,0.0,4,221.0,0.0,1,106.0,0.14866671653301197,2,139.0,0.0,8,542.0
95.0,8,506.0,46.0,3.433482996181061,11,1,81.0,0.0,4,241.0,0.0,1,39.0,0.0,2,151.0,0.3010297129403221,8,512.0
100.0,8,546.0,49.63636363636363,3.5221199191139707,11,1,86.0,0.0,4,261.0,0.0,1,44.0,0.0,2,161.0,0.32308229002546685,8,552.0
105.0,8,586.0,58.6,1.1076310148017716,10,1,91.0,0.0,4,281.0,0.0,1,49.0,0.0,2,171.0,0.008571721784459568,8,592.0
110.0,9,631.0,70.11111111111111,0.0,9,1,96.0,0.0,4,301.0,0.0,1,54.0,0.0,3,186.0,0.0,9,637.0
115.0,9,676.0,75.11111111111111,0.0,9,1,101.0,0.0,4,321.0,0.0,1,59.0,0.0,3,201.0,0.0,9,682.0
120.0,4,369.0,41.0,2.719073681346744,9,1,106.0,0.0,0,151.0,0.2573083906649652,1,64.0,0.0,2,199.0,0.0,4,520.0
125.0,4,389.0,43.22222222222222,7.02654209658557,9,1,113.0,0.48207098081590766,0,0.0,1.0,1,69.0,0.0,2,209.0,0.0,4,391.0
130.0,4,409.0,45.44444444444444,6.932338409478305,9,1,118.0,0.497709134395654,0,0.0,1.0,1,74.0,0.0,2,219.0,0.0,4,411.0
135.0,4,429.0,85.8,2.849385628849205,5,1,121.0,0.0,0,0.0,1.0,1,79.0,0.0,2,229.0,0.0,4,429.0
140.0,4,449.0,89.8,2.8285781295736623,5,1,126.0,0.0,0,0.0,1.0,1,84.0,0.0,2,239.0,0.0,4,449.0
145.0,4,469.0,27.58823529411765,10.237665352941178,17,1,131.0,0.8,0,0.0,1.0,1,89.0,0.75,2,249.0,0.6,4,469.0
150.0,4,489.0,17.464285714285715,10.388232984434667,28,1,136.0,0.7917076625526437,0,0.0,0.8549333789440262,1,94.0,0.7622404722008349,2,259.0,0.7005456760422084,4,489.0
155.0,4,509.0,18.178571428571427,9.694129205960163,28,1,141.0,0.6802702318298047,0,0.0,0.8327665003191885,1,99.0,0.7485157155350052,2,269.0,0.5414817395883962,4,509.0
160.0,12,547.0,19.535714285714285,4.142064427855372,28,4,151.0,0.27765393673967975,2,5.0,0.4324605710728888,2,105.0,0.1409831822740587,4,286.0,0.26215719108470076,12,547.0
165.0,19,635.0,22.678571428571427,3.9146267554015997,28,4,171.0,0.19924993711225983,4,20.0,0.27458096680874405,6,133.0,0.13085283567170533,5,311.0,0.23642209481788973,19,635.0
170.0,20,721.0,26.703703703703702,2.413319565240272,27,4,191.0,0.12314556354686575,4,30.0,0.054948190385546956,6,163.0,0.12603484966267584,6,337.0,0.1345800836306312,20,721.0
175.0,21,800.0,32.0,1.1603869883086104,25,5,213.0,1.2574271149546018e-05,5,53.0,2.5555660758513356e-05,4,176.0,0.026355003482248257,7,369.0,1.647543995476556e-05,21,811.0
180.0,21,905.0,36.2,1.9690375441099959,25,5,240.0,0.2607345903620943,5,78.0,0.0,4,185.0,0.0,7,404.0,0.0,21,907.0
185.0,20,997.0,41.541666666666664,1.8523922042283898,24,5,265.0,0.2772617317543785,4,90.0,0.0,4,205.0,0.0,7,439.0,0.0,20,999.0
190.0,17,1019.0,44.30434782608695,1.1337622674101198,23,5,290.0,0.0044380459915385135,4,110.0,0.0,2,192.0,0.05918933005800008,6,457.0,0.0,17,1049.0
195.0,17,1104.0,48.0,2.537204250304865,23,5,314.0,0.030372773249646986,4,132.0,0.08336488382135807,2,174.0,0.0,6,489.0,0.1421903776823605,17,1109.0
200.0,17,1189.0,54.04545454545455,2.8957709401756517,22,5,338.0,0.0,4,152.0,0.18436385205200595,2,184.0,0.0,6,519.0,0.14279032284782275,17,1193.0
205.0,18,1276.0,63.8,1.0177654917995098,20,5,363.0,0.0,4,172.0,0.09955454526870812,2,194.0,0.0,7,551.0,0.0003604982745660717,18,1280.0
210.0,16,1230.0,64.73684210526316,0.7513630152413806,19,2,297.0,0.09151448916041392,5,196.0,8.740098231227098e-06,2,204.0,0.0,7,586.0,0.0,16,1283.0
215.0,16,1310.0,68.94736842105263,1.92381001819104,19,2,258.0,0.0,5,223.0,0.15521640867557582,2,214.0,0.3203067309281777,7,621.0,0.0,16,1316.0
220.0,16,1390.0,73.15789473684211,1.7972670680911278,19,2,268.0,0.0,5,248.0,0.1285075355878947,2,224.0,0.2995382275297277,7,656.0,0.0,16,1396.0
225.0,17,1472.0,81.77777777777777,0.3105990142817674,18,2,278.0,0.0,6,275.0,0.0001715975252478678,2,234.0,0.16331404787930515,7,691.0,0.0,17,1478.0
230.0,18,1560.0,86.66666666666667,2.4585578674090145e-05,18,2,288.0,0.0,6,305.0,0.0,3,247.0,1.2959268306988085e-05,7,726.0,0.0,18,1566.0
235.0,12,1319.0,73.27777777777777,1.1810532612101252,18,2,298.0,0.0,0,184.0,0.16849709635146987,3,262.0,0.0,7,761.0,0.0,12,1505.0
240.0,12,1379.0,76.61111111111111,3.872980979085673,18,2,310.0,0.4625291435992689,0,0.0,1.0,3,277.0,0.0,7,796.0,0.0,12,1383.0
245.0,6,874.0,48.55555555555556,6.3407304344035476,18,2,320.0,0.44663389194619973,0,0.0,1.0,1,18.0,0.0,3,663.0,0.12389129088848874,6,1001.0
250.0,7,907.0,60.46666666666667,6.299626361624062,15,3,335.0,0.2640297753889794,0,0.0,0.9165612162609086,1,25.0,0.4913812747380653,3,553.0,0.0,7,913.0
255.0,8,945.0,67.5,5.518134738229394,14,4,353.0,0.18095515612773078,0,0.0,0.9321692635237995,1,30.0,0.48851789492913394,3,568.0,0.0,8,951.0
