step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,total_vehicle,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,5.68770802837098,2,0,0.0,0.17146497417771855,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6867833503052514,0,0.0
10.0,1,0.0,0.0,7.897836074890844,4,0,0.0,0.9712068951785622,0,0.0,1.0,0,0.0,1.0,1,0.0,0.5142608292312333,1,0.0
15.0,0,0.0,0.0,8.636910980198802,5,0,0.0,0.9791088530106653,0,0.0,0.30866636624758126,0,0.0,1.0,0,0.0,0.7165560637356672,0,0.0
20.0,1,5.0,0.7142857142857143,6.955390340492831,7,0,0.0,0.08518858630787077,0,0.0,0.9803044621798943,0,0.0,0.6596162473953266,1,5.0,0.6271390140857537,1,5.0
25.0,4,15.0,1.6666666666666667,4.664970755630347,9,1,4.0,0.46195694657421127,0,0.0,0.6226591219326217,1,0.0,0.47698692423418504,2,11.0,0.1116791429133093,4,15.0
30.0,4,26.0,2.6,5.205448976056932,10,0,0.0,0.9551457252602383,1,2.0,0.002296564243179643,0,0.0,0.4303483772381811,3,24.0,0.24695099638090817,4,26.0
35.0,5,44.0,3.6666666666666665,5.039837763351943,12,1,1.0,0.07251141303258543,0,2.0,0.9712068951785622,1,4.0,0.6289408420361275,3,39.0,0.07648199838519489,5,46.0
40.0,8,73.0,5.214285714285714,4.789048299127617,14,2,6.0,0.23431953412483356,0,2.0,0.9791088530106653,2,10.0,0.4090863502519771,4,57.0,0.08859499654653548,8,75.0
45.0,8,94.0,6.266666666666667,4.91146208426569,15,1,11.0,0.5119230518975294,1,3.0,0.0054133353299910475,3,23.0,0.07622154687401034,3,59.0,0.24161282775813644,8,96.0
50.0,9,135.0,8.4375,4.303033583955304,16,2,17.0,0.3209791449495215,1,10.0,0.37374503495048333,3,38.0,0.313164649683773,3,74.0,0.15420279418684868,9,139.0
55.0,10,169.0,9.38888888888889,3.98352677605097,18,2,27.0,0.0022709223305388284,1,15.0,0.5574702180337523,3,40.0,0.3731733063456937,4,91.0,6.186474066319129e-05,10,173.0
60.0,9,212.0,11.777777777777779,5.4447936791571445,18,3,44.0,0.3759826008370216,1,18.0,0.6210722282163265,2,50.0,0.3975746127598605,3,104.0,0.0,9,216.0
65.0,11,260.0,13.0,4.7714448216358445,20,3,59.0,0.37818545545900306,2,25.0,0.20171414713996083,3,63.0,0.4283337063166459,3,119.0,0.16214246548352346,11,266.0
70.0,12,297.0,14.142857142857142,4.693148390239347,21,3,51.0,0.2688226053101487,3,38.0,0.22884105362391674,3,78.0,0.4354219231576794,3,134.0,0.39689376704455054,12,301.0
75.0,12,353.0,16.045454545454547,4.807227952336721,22,2,61.0,0.5135602222234543,3,55.0,0.2967583964217987,4,94.0,0.2287602737577211,3,149.0,0.19830775520620922,12,359.0
80.0,12,389.0,16.91304347826087,3.6600836110141284,23,2,73.0,0.3841627019830283,2,57.0,0.177747487017762,4,99.0,0.31100889373075796,4,168.0,0.0023610037997884538,12,397.0
85.0,17,461.0,19.208333333333332,2.6773792534733567,24,4,88.0,0.30976256725144496,3,69.0,0.00012798693493970938,5,119.0,0.23955619672614387,5,193.0,0.06741861939888845,17,469.0
90.0,18,546.0,21.84,2.924413634379471,25,5,110.0,0.2337090611873212,3,84.0,0.0,5,142.0,0.2664602748751769,5,218.0,0.154579643890014,18,554.0
95.0,20,639.0,24.576923076923077,1.4448851303054964,26,6,137.0,0.010902416427409977,3,99.0,0.05133241840627337,6,168.0,0.24073917006514423,5,243.0,0.10507607966958435,20,647.0
100.0,23,748.0,26.714285714285715,1.2103101836937789,28,7,172.0,0.0,3,114.0,0.24264103733276823,7,198.0,0.08224423883188947,6,272.0,0.13251928519893216,23,756.0
105.0,22,839.0,28.93103448275862,2.210141774104666,29,5,180.0,0.06348588144734894,3,129.0,0.24466062546142295,8,236.0,0.17725837013354329,6,302.0,0.13959880214426515,22,847.0
110.0,22,949.0,30.612903225806452,2.5910004381010543,31,5,205.0,0.14903721591389643,3,146.0,0.18656789474247185,8,276.0,0.28469481065957825,6,332.0,0.0,22,959.0
115.0,25,1066.0,32.303030303030305,2.6980667552129396,33,5,230.0,0.2754319823507438,4,165.0,0.2975639256492472,9,319.0,0.16545095465523382,7,362.0,0.045233716264797594,25,1076.0
120.0,25,1162.0,35.21212121212121,2.1857809442732026,33,5,255.0,0.17596420822633374,5,186.0,0.15743003692701338,9,339.0,0.10552812737711582,6,392.0,0.21031262849839658,25,1172.0
125.0,27,1291.0,36.885714285714286,2.165288604970694,35,5,280.0,0.15405128081196293,6,212.0,0.11121442111104039,10,387.0,0.08870277548585771,6,424.0,0.2735042211771888,27,1303.0
