step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,total_vehicle,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.503972412510459,24,0,0.0,0.9026738799093866,0,0.0,0.9384374244155929,0,0.0,0.8775717261317922,0,0.0,0.8919377855571028,0,0.0
10.0,0,0.0,0.0,12.934097219117133,24,0,0.0,0.9309853346794049,0,0.0,0.957597515444351,0,0.0,0.9315406792732362,0,0.0,0.9108359177535833,0,0.0
15.0,6,11.0,0.4583333333333333,5.754726651258532,24,1,2.0,0.01832240608156758,2,3.0,0.3464296137267799,1,1.0,0.27365318952153755,2,5.0,0.4752664381021767,6,11.0
20.0,14,79.0,3.2916666666666665,5.356908015474165,24,4,22.0,0.3226007537310873,4,23.0,0.32239624678618267,3,14.0,0.23829777218033124,3,20.0,0.42115204665242145,14,79.0
25.0,16,153.0,6.954545454545454,3.496934802410878,22,4,42.0,0.3301171835538185,4,43.0,0.0,3,29.0,0.0,5,39.0,0.16412345190088168,16,153.0
30.0,13,195.0,8.863636363636363,3.819029670802426,22,3,47.0,0.0026507866332253264,4,63.0,0.0,3,44.0,0.0,3,41.0,0.0,13,195.0
35.0,13,245.0,12.25,4.257721626247833,20,4,67.0,0.0,3,67.0,0.3873611744148218,3,59.0,0.0,3,56.0,0.0,13,249.0
40.0,13,310.0,18.235294117647058,2.820333213398425,17,4,87.0,0.0,3,82.0,0.32179514459100184,3,74.0,0.0,3,71.0,0.0,13,314.0
45.0,15,380.0,23.75,0.7228704166512792,16,4,107.0,0.0,5,102.0,0.00019237691333712052,3,89.0,0.0,3,86.0,0.0,15,384.0
50.0,14,447.0,29.8,0.4108242950200413,15,4,127.0,0.0,4,117.0,0.0,3,104.0,0.0,3,101.0,0.0,14,449.0
55.0,14,517.0,34.46666666666667,0.959469684785589,15,4,147.0,0.0,4,137.0,0.0,3,119.0,0.0,3,116.0,0.0,14,519.0
60.0,9,376.0,25.066666666666666,2.3369300206299015,15,1,88.0,0.07928497054957824,4,157.0,0.0,1,86.0,0.08158990696410813,3,131.0,0.0,9,462.0
65.0,6,297.0,21.214285714285715,5.525095941181369,14,1,50.0,0.0,1,101.0,0.4179740622881516,1,50.0,0.40094656685186747,3,148.0,0.2246555502830543,6,349.0
70.0,6,327.0,23.357142857142858,7.679564642926081,14,1,57.0,0.489727124912698,1,58.0,0.48633800143241795,1,55.0,0.49971436303951433,3,163.0,0.2302908040357394,6,333.0
75.0,7,358.0,29.833333333333332,5.551081770175799,12,1,62.0,0.46143858614534794,1,61.0,0.0,1,60.0,0.0,4,179.0,0.0008725097713326578,7,362.0
80.0,8,394.0,39.4,2.821133781051858,10,2,68.0,0.002448667219332565,1,66.0,0.0,1,65.0,0.0,4,199.0,0.0,8,398.0
85.0,8,434.0,54.25,0.0,8,2,78.0,0.0,1,71.0,0.0,1,70.0,0.0,4,219.0,0.0,8,438.0
90.0,8,474.0,59.25,0.0,8,2,88.0,0.0,1,76.0,0.0,1,75.0,0.0,4,239.0,0.0,8,478.0
95.0,8,514.0,64.25,0.0,8,2,98.0,0.0,1,81.0,0.0,1,80.0,0.0,4,259.0,0.0,8,518.0
100.0,8,554.0,69.25,0.0,8,2,108.0,0.0,1,86.0,0.0,1,85.0,0.0,4,279.0,0.0,8,558.0
105.0,8,594.0,74.25,0.0,8,2,118.0,0.0,1,91.0,0.0,1,90.0,0.0,4,299.0,0.0,8,598.0
110.0,8,634.0,79.25,0.0,8,2,128.0,0.0,1,96.0,0.0,1,95.0,0.0,4,319.0,0.0,8,638.0
115.0,8,674.0,84.25,0.0,8,2,138.0,0.0,1,101.0,0.0,1,100.0,0.0,4,339.0,0.0,8,678.0
120.0,8,714.0,89.25,0.0,8,2,148.0,0.0,1,106.0,0.0,1,105.0,0.0,4,359.0,0.0,8,718.0
125.0,3,331.0,41.375,2.8132829474192333,8,1,110.0,0.0,1,111.0,0.0,1,110.0,0.0,0,159.0,0.19925416404678822,3,490.0
130.0,3,346.0,43.25,8.542779139023626,8,1,115.0,0.0,1,116.0,0.4545553545190158,1,117.0,0.4773586102838623,0,0.0,1.0,3,348.0
135.0,3,361.0,45.125,8.474135192401796,8,1,120.0,0.0,1,121.0,0.4573682278912503,1,122.0,0.47328868079049524,0,0.0,1.0,3,363.0
140.0,4,377.0,62.833333333333336,4.434535580229025,6,1,125.0,0.0,2,127.0,0.002358867881408158,1,125.0,0.0,0,0.0,1.0,4,377.0
145.0,4,397.0,20.894736842105264,11.417087177746893,19,1,130.0,0.8,2,137.0,0.6666666666666666,1,130.0,0.75,0,0.0,1.0,4,397.0
150.0,4,417.0,14.892857142857142,11.1961322844013,28,1,135.0,0.7827435114204518,2,147.0,0.6952520708242695,1,135.0,0.8189773739525885,0,0.0,0.8793585088642198,4,417.0
155.0,4,437.0,15.607142857142858,8.988995550522878,28,1,140.0,0.6465080661915864,2,157.0,0.5694173350289606,1,140.0,0.48049022830331456,0,0.0,0.8185841979793196,4,437.0
160.0,13,462.0,16.5,4.269953094552645,28,4,152.0,0.27193252169599963,4,154.0,0.28028365324680765,3,152.0,0.19879237409532008,2,4.0,0.3594983807638113,13,462.0
165.0,17,543.0,19.392857142857142,4.685834021627575,28,5,175.0,0.35350365828694214,5,178.0,0.2680918825121265,4,172.0,0.18297411468051838,3,19.0,0.19584305615526942,17,544.0
170.0,18,633.0,23.444444444444443,4.256572222273006,27,5,200.0,0.16072769425798028,5,203.0,0.2580205108175018,4,192.0,0.0,4,39.0,0.1575903538238825,18,634.0
175.0,19,726.0,29.04,2.599068124908549,25,5,225.0,0.006957265287276515,5,228.0,0.157544762223119,4,212.0,0.0,5,62.0,9.927336025764253e-06,19,727.0
180.0,18,773.0,32.208333333333336,2.210647174240998,24,5,232.0,1.8804530850261584e-05,5,231.0,0.0003129768288020415,4,232.0,0.0,4,78.0,0.0,18,773.0
185.0,18,863.0,41.095238095238095,1.9597790315808659,21,5,257.0,1.5341363898589431e-06,5,258.0,0.15484049702090816,4,252.0,0.0,4,98.0,0.0,18,865.0
190.0,18,953.0,45.38095238095238,1.8633245403722205,21,5,282.0,0.0,5,283.0,0.15253869244417465,4,272.0,0.0,4,118.0,0.0,18,955.0
195.0,16,944.0,49.68421052631579,0.7864452049207536,19,5,307.0,0.0,6,309.0,0.00101184991670979,4,292.0,0.0,1,70.0,0.10997921052517773,16,978.0
200.0,16,1024.0,53.89473684210526,1.9957403795674953,19,5,332.0,0.0,6,339.0,0.12443809758140716,4,314.0,0.1995447609387653,1,43.0,0.0,16,1028.0
