step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
195.0,62,5938.0,82.47222222222223,1.4812350157287257,62,5938.0,0.05755555263153531,62,5938.0
200.0,64,6254.0,85.67123287671232,1.5255117444052266,64,6254.0,0.07195918525424767,64,6254.0
205.0,64,6574.0,88.83783783783784,1.6525779987480356,64,6574.0,0.06623494218169171,64,6574.0
210.0,66,6896.0,88.41025641025641,2.0098537520723223,66,6896.0,0.04719908766489183,66,6896.0
215.0,66,7226.0,97.64864864864865,1.4741365585523818,66,7226.0,0.05145019733676031,66,7226.0
220.0,68,7558.0,92.17073170731707,2.0561106403500347,68,7558.0,0.11912631839388614,68,7558.0
225.0,70,7900.0,96.34146341463415,1.4746209141991977,70,7900.0,0.06596412277455782,70,7900.0
230.0,73,8261.0,96.05813953488372,1.7782758426431435,73,8261.0,0.06580383119178254,73,8261.0
235.0,74,8631.0,105.2560975609756,1.2684172764915533,74,8631.0,0.045573951792431254,74,8631.0
240.0,74,9001.0,105.89411764705882,1.678842169144616,74,9001.0,0.04395545096404717,74,9001.0
245.0,74,9371.0,114.28048780487805,1.351168591062214,74,9371.0,0.04549929428077558,74,9371.0
250.0,74,9741.0,117.36144578313252,1.4143185489567127,74,9741.0,0.054262367757178,74,9741.0
255.0,74,10111.0,117.56976744186046,1.7365778495243396,74,10111.0,0.07940209278037896,74,10111.0
260.0,76,10483.0,119.125,1.4808697688221069,76,10483.0,0.05226321006752009,76,10483.0
265.0,78,10871.0,126.40697674418605,1.228470940456029,78,10871.0,0.04181479968913768,78,10871.0
270.0,78,11261.0,129.4367816091954,1.3330833165379812,78,11261.0,0.07350811019853663,78,11261.0
275.0,78,11651.0,135.47674418604652,1.274326422070792,78,11651.0,0.04411446574003073,78,11651.0
280.0,78,12041.0,136.82954545454547,1.3836660032781807,78,12041.0,0.06046360812144267,78,12041.0
285.0,78,12431.0,144.54651162790697,1.1924492182165833,78,12431.0,0.04431998718765871,78,12431.0
290.0,78,12821.0,137.86021505376345,1.8833822770269195,78,12821.0,0.0977046818139535,78,12821.0
295.0,80,13213.0,143.6195652173913,1.3140835865267895,80,13213.0,0.05825946067686472,80,13213.0
300.0,84,13625.0,144.9468085106383,1.330937259344541,84,13625.0,0.06385580643652095,84,13625.0
305.0,84,14045.0,152.66304347826087,1.034412027390928,84,14045.0,0.03794187933998876,84,14045.0
310.0,84,14465.0,153.88297872340425,1.3353118649747342,84,14465.0,0.05988712062300886,84,14465.0
315.0,84,14885.0,156.68421052631578,1.5051565632437176,84,14885.0,0.042845273362111906,84,14885.0
320.0,84,15305.0,162.81914893617022,1.4890871278435442,84,15305.0,0.05410876764011875,84,15305.0
325.0,84,15725.0,167.2872340425532,1.190260140798795,84,15725.0,0.043298245499221115,84,15725.0
330.0,86,16151.0,171.81914893617022,1.177061065522274,86,16151.0,0.02142394623222007,86,16151.0
335.0,86,16581.0,176.39361702127658,1.1942970247319313,86,16581.0,0.04244992421459467,86,16581.0
340.0,86,17011.0,184.90217391304347,0.8960330905283367,86,17011.0,0.04240350840852718,86,17011.0
345.0,86,17441.0,185.54255319148936,1.036844723207227,86,17441.0,0.037211726761351455,86,17441.0
350.0,86,17871.0,190.11702127659575,1.0854719943979354,86,17871.0,0.03992026914779953,86,17871.0
355.0,86,18301.0,194.69148936170214,1.026419299413908,86,18301.0,0.0473879074560154,86,18301.0
360.0,86,18731.0,199.2659574468085,1.053200131878783,86,18731.0,0.0384322548656743,86,18731.0
365.0,86,19161.0,195.5204081632653,1.5354875356425042,86,19161.0,0.06030864940147327,86,19161.0
370.0,86,19591.0,204.07291666666666,1.1970853773207675,86,19591.0,0.048185569641356334,86,19591.0
375.0,88,20029.0,206.48453608247422,1.135707110562155,88,20029.0,0.04698774294672169,88,20029.0
380.0,88,20469.0,213.21875,1.0509370606003747,88,20469.0,0.03972772955150133,88,20469.0
385.0,88,20909.0,211.2020202020202,1.3856373532859878,88,20909.0,0.047750177487318066,88,20909.0
390.0,88,21349.0,222.38541666666666,1.102622127120899,88,21349.0,0.04061430520522096,88,21349.0
395.0,88,21789.0,222.33673469387756,1.2301723635367474,88,21789.0,0.03460076272177442,88,21789.0
400.0,88,22229.0,231.55208333333334,1.0626837027943064,88,22229.0,0.03789183533619899,88,22229.0
405.0,88,22669.0,236.13541666666666,0.9121684323706734,88,22669.0,0.049459551526133974,88,22669.0
410.0,82,21163.0,220.44791666666666,1.241543846528881,82,22314.0,0.04518368981281604,82,22314.0
415.0,76,20878.0,210.88888888888889,2.0843211919309312,76,21549.0,0.08519259590778278,76,21549.0
420.0,80,21270.0,221.5625,2.0134478299860485,80,21270.0,0.044911969863005614,80,21270.0
425.0,76,21638.0,223.0721649484536,1.7586895259522464,76,21648.0,0.047734002683746675,76,21648.0
430.0,76,22018.0,239.32608695652175,1.9592511077875105,76,22018.0,0.04252221124238647,76,22018.0
435.0,76,22398.0,238.27659574468086,2.3763973062482453,76,22398.0,0.0900386011696642,76,22398.0
440.0,76,22778.0,253.0888888888889,2.0071290570739944,76,22778.0,0.06813849072034601,76,22778.0
445.0,76,23158.0,257.31111111111113,1.5753144283628546,76,23158.0,0.07213965651130377,76,23158.0
450.0,78,23548.0,273.8139534883721,1.176522297288831,78,23548.0,0.046587722961016285,78,23548.0
