step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
155.0,29,683.0,17.075,2.8713162496593383,29,704.0,0.159054088290822,29,704.0
160.0,33,837.0,19.022727272727273,2.5818405829191664,33,858.0,0.09923589936721941,33,858.0
165.0,37,1014.0,23.045454545454547,1.9306724115395182,37,1035.0,0.04935747825948333,37,1035.0
170.0,38,1204.0,28.0,1.5538639258646998,38,1225.0,0.023450536086471154,38,1225.0
175.0,32,1070.0,25.476190476190474,1.742645790314938,32,1288.0,0.06890591208986406,32,1288.0
180.0,22,702.0,17.121951219512194,3.5616707840883954,22,1203.0,0.15535878091160576,22,1203.0
185.0,15,408.0,9.951219512195122,5.3350750334471195,15,988.0,0.16218438599624369,15,988.0
190.0,6,118.0,3.0256410256410255,7.123492334369199,6,791.0,0.3197922417593809,6,791.0
195.0,3,25.0,0.7575757575757576,8.840339614507513,3,568.0,0.49854068476180624,3,568.0
200.0,2,4.0,0.125,7.802372759274547,2,507.0,0.44471260983956495,2,507.0
205.0,8,34.0,1.0303030303030303,6.004332184073511,8,530.0,0.3373378404879409,8,530.0
210.0,14,95.0,2.7142857142857144,4.057006163297566,14,591.0,0.21966691950638542,14,591.0
215.0,20,182.0,4.55,2.9652675899582372,20,678.0,0.1676530467845548,20,678.0
220.0,27,304.0,7.414634146341464,1.8774809010084896,27,800.0,0.08506182514600762,27,800.0
225.0,35,462.0,10.744186046511627,1.686956180817136,35,959.0,0.051764918904748394,35,959.0
230.0,38,647.0,14.704545454545455,1.9194107486441503,38,1145.0,0.06888211313232401,38,1145.0
235.0,38,837.0,19.46511627906977,1.541949856640457,38,1335.0,0.06947703094887611,38,1335.0
240.0,38,1027.0,23.88372093023256,1.5535562907746028,38,1525.0,0.04775276667949364,38,1525.0
245.0,38,1217.0,27.044444444444444,2.1088207713929044,38,1715.0,0.07118327645681383,38,1715.0
250.0,32,1108.0,24.622222222222224,2.224296342321883,32,1705.0,0.13115069242264998,32,1705.0
255.0,24,790.0,17.555555555555557,3.3963550438857038,24,1507.0,0.1684739770418637,24,1507.0
260.0,16,508.0,11.043478260869565,5.1593137566160046,16,1150.0,0.1909777657239466,16,1150.0
265.0,11,206.0,4.681818181818182,6.147704898326578,11,915.0,0.2711411562442099,11,915.0
270.0,7,85.0,2.1794871794871793,7.508569165425051,7,740.0,0.40150058022022606,7,740.0
275.0,5,21.0,0.5,7.37187491908385,5,692.0,0.4495257822303464,5,692.0
280.0,7,25.0,0.5813953488372093,6.819744904656495,7,641.0,0.37628398742606634,7,641.0
285.0,12,77.0,1.7906976744186047,5.400111273437466,12,690.0,0.23314491105531476,12,690.0
290.0,20,157.0,3.6511627906976742,4.058584205697863,20,770.0,0.11165298927367612,20,770.0
295.0,25,270.0,6.428571428571429,2.2312571232250282,25,884.0,0.05863712637992059,25,884.0
300.0,33,421.0,9.568181818181818,1.7791292760423305,33,1035.0,0.05179181611440533,33,1035.0
305.0,38,603.0,14.357142857142858,1.2733884042069252,38,1218.0,0.06875684222476176,38,1218.0
310.0,32,589.0,14.023809523809524,1.364094284285724,32,1246.0,0.06006949947403348,32,1246.0
315.0,25,465.0,11.341463414634147,2.5181685195603007,25,1090.0,0.07046577359977829,25,1090.0
320.0,16,299.0,6.953488372093023,5.17745147659887,16,768.0,0.1741746249107549,16,768.0
325.0,8,153.0,3.731707317073171,7.1735123316684275,8,596.0,0.3495847607110373,8,596.0
330.0,3,50.0,1.4285714285714286,8.264337411481508,3,455.0,0.47149226961102714,3,455.0
335.0,1,1.0,0.029411764705882353,7.4560604187836805,1,373.0,0.43826696614513794,1,373.0
340.0,6,20.0,0.6060606060606061,6.767927786902994,6,372.0,0.29954566021600243,6,372.0
345.0,12,69.0,2.15625,4.521554423147166,12,421.0,0.22147948120376593,12,421.0
350.0,18,148.0,4.484848484848484,2.5584936932564664,18,500.0,0.14390982544219047,18,500.0
355.0,25,260.0,7.222222222222222,1.0086881500612062,25,612.0,0.04405771949692123,25,612.0
360.0,26,261.0,6.6923076923076925,1.350443327512998,26,647.0,0.051377361459649856,26,647.0
365.0,20,187.0,4.560975609756097,3.5978976258258992,20,574.0,0.153690305358917,20,574.0
370.0,14,143.0,3.3255813953488373,6.0774763439261426,14,394.0,0.25266347622675844,14,394.0
375.0,6,62.0,1.55,7.362091006385944,6,321.0,0.3783472560783577,6,321.0
380.0,3,16.0,0.43243243243243246,8.411352003053599,3,243.0,0.4818156479863241,3,243.0
385.0,1,2.0,0.05405405405405406,7.988684575636495,1,223.0,0.5067094163266407,1,223.0
390.0,7,24.0,0.6153846153846154,7.403124108549156,7,236.0,0.40714121116916435,7,236.0
395.0,14,82.0,2.05,5.3269197393720535,14,295.0,0.20024080577717768,14,295.0
400.0,20,167.0,4.282051282051282,2.9499263622698173,20,380.0,0.10071935639493046,20,380.0
405.0,26,284.0,7.473684210526316,0.9521008195068562,26,497.0,0.01933939436405606,26,497.0
410.0,32,431.0,11.051282051282051,0.7351025953165314,32,645.0,0.029335216765469456,32,645.0
415.0,38,609.0,14.5,1.2658580086516609,38,824.0,0.06892954148661104,38,824.0
420.0,32,596.0,14.19047619047619,1.6777194315132868,32,908.0,0.10176306010146816,32,908.0
425.0,24,432.0,10.285714285714286,3.1163546420643486,24,855.0,0.12210507865076359,24,855.0
430.0,16,285.0,6.4772727272727275,5.2681627823739285,16,683.0,0.20613712837514758,16,683.0
435.0,9,147.0,3.5853658536585367,6.933523398354413,9,559.0,0.33451622895630323,9,559.0
440.0,4,54.0,1.5,8.222312079344624,4,452.0,0.45153315279315387,4,452.0
