step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.513421976122352,0,0.0,0.9305552435510274,0,0.0,0.9310720441838892,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9317639247112535,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9331603520123115,0,0.0,0.9250359050435837,0,0.0,0.9170184860698706,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9310436067181015,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.971583836120796,0,0.0,0.9377374030735677,0,0.0,0.9667251610162022,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9130218588562399,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9651961064459672,0,0.0,0.960651483472647,0,0.0,0.958210470262938,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9642441326759579,0,0.0,1.0,0,0.0
15.0,4,9.0,0.225,11.187311963284165,2,4.0,0.758092785918525,0,0.0,0.9798708084032448,0,0.0,1.0,0,0.0,1.0,1,3.0,0.7281882148595329,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9532995451400957,0,0.0,0.9635465994070765,0,0.0,0.8448092507116604,0,0.0,0.9625660674376225,0,0.0,0.9502430216573587,0,0.0,0.9474868343823638,1,2.0,0.6408733437876603,0,0.0,1.0,4,9.0
20.0,11,45.0,0.8035714285714286,9.458194624457137,3,15.0,0.628019719133651,0,0.0,0.811603075848159,0,0.0,1.0,0,0.0,1.0,3,12.0,0.48814290028495594,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.943575320206238,0,0.0,0.962225290198661,2,5.0,0.6507802662084814,0,0.0,0.9266661345412338,0,0.0,0.955474674432029,0,0.0,0.9316015480874457,3,13.0,0.5200019233018607,0,0.0,1.0,11,45.0
25.0,18,117.0,1.625,8.26550786532838,4,33.0,0.5967370242449348,1,3.0,0.6334620436739167,0,0.0,1.0,0,0.0,1.0,4,30.0,0.4299363071916704,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9632540800524302,0,0.0,0.9292330355193079,5,21.0,0.6014990247827411,0,0.0,0.5285721445846074,0,0.0,0.6787077161319952,0,0.0,0.9692676510397661,4,30.0,0.4240187886996169,0,0.0,1.0,18,117.0
30.0,25,222.0,2.775,7.293357786457728,5,58.0,0.466985459763516,0,0.0,0.8210013778823019,0,0.0,1.0,0,0.0,0.9556084393012534,6,55.0,0.3180958469627709,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9208538426579241,0,0.0,0.9400364391750035,6,47.0,0.436026310198901,0,2.0,0.29660963607341484,2,7.0,0.420747928115222,0,0.0,0.9344871863453639,6,55.0,0.3515020953611731,0,0.0,0.39454730097929763,25,224.0
35.0,32,374.0,3.8958333333333335,7.53084838830916,7,91.0,0.41988218113955345,0,0.0,0.9352422956849697,0,0.0,1.0,0,0.0,0.954633193922613,7,88.0,0.2452722035354087,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9391003424290758,0,0.0,0.9385126238360814,7,82.0,0.3956833714331565,0,4.0,0.9482528874586692,3,21.0,0.430559365228314,0,0.0,0.9354159913387656,8,92.0,0.45354552927666425,0,1.0,0.9295897760687556,32,379.0
40.0,41,535.0,4.776785714285714,7.225200479468444,9,136.0,0.37674186244651653,2,2.0,0.5576567922787048,0,4.0,0.4209658043517121,0,0.0,0.947081357227556,10,134.0,0.24333292167576,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9506760294868781,0,0.0,0.9628259268754278,0,0.0,0.9662860753921001,10,128.0,0.3872098426077402,0,4.0,0.8168816067878752,0,11.0,0.6206243455311664,0,0.0,0.9508799407881108,10,135.0,0.4234437860140402,0,1.0,0.994823005056666,41,555.0
45.0,52,772.0,6.433333333333334,6.470230903433189,12,192.0,0.2808232564245235,3,16.0,0.34809152719591846,0,4.0,0.8898616372389759,0,0.0,0.9304432372325886,12,188.0,0.25198298661718754,0,0.0,0.9463903693844543,0,0.0,1.0,0,0.0,0.9398440816949369,0,0.0,0.8375345000710123,0,0.0,0.9771664859767663,11,182.0,0.2837409522412904,2,8.0,0.24027027750123245,0,0.0,0.8206165571001556,0,0.0,0.9665559414730982,12,190.0,0.24589579232736933,0,0.0,1.0,52,780.0
50.0,60,1037.0,7.625,6.137338282260921,13,255.0,0.296745641910528,0,13.0,0.46826064334259815,0,4.0,0.9387885762610712,0,0.0,0.9308209065619405,14,254.0,0.32359497408359755,0,0.0,0.9661264667576934,0,0.0,1.0,0,0.0,0.930618850962977,1,3.0,0.6727066943351331,0,0.0,0.9437764381134807,13,245.0,0.2509074670321969,4,29.0,0.19350707567122694,1,4.0,0.5124195318066767,0,0.0,0.94984969167262,14,255.0,0.2599159480657748,0,0.0,1.0,60,1062.0
