step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,total_vehicle,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.899381348812113,16,0,0.0,0.9528543256477144,0,0.0,0.9517214204028306,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9457979197704459,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9506024709888241,0,0.0,0.9481409527482842,0,0.0,0.9480007751052643,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9464136746514047,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.787688499281032,32,0,0.0,0.9462865899285163,0,0.0,0.9504876175176049,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9528882474219952,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9568513645494688,0,0.0,0.9584084541318002,0,0.0,0.9552219066311416,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9368768511180964,0,0.0,1.0,0,0.0
15.0,1,1.0,0.025,10.632870814230646,40,1,1.0,0.7610939057873468,0,0.0,0.6275921896239129,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6981287486897207,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9305582508857139,0,0.0,0.9109113083300627,0,0.0,0.7112599629167807,0,0.0,1.0,0,0.0,0.9503987836922274,0,0.0,0.9871057488228755,0,0.0,0.9103944434046323,0,0.0,0.6958930545477755,1,1.0
20.0,8,31.0,0.5535714285714286,9.704205021682744,56,2,9.0,0.6274816607431272,2,8.0,0.6598841210313547,0,0.0,1.0,0,0.0,1.0,2,6.0,0.5399179687995249,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7422347752093053,0,0.0,0.947859991132184,2,8.0,0.5758800271918721,0,0.0,1.0,0,0.0,0.9282528101378593,0,0.0,0.9521721112338494,0,0.0,0.9526808750245856,0,0.0,0.9389219187991422,8,31.0
25.0,14,76.0,1.0555555555555556,8.725597603750707,72,4,26.0,0.5991699746760599,0,1.0,0.662581245268119,0,0.0,1.0,0,0.0,0.9607303768207397,4,20.0,0.4221901518079203,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,5.0,0.5538565131206302,0,0.0,0.9339247643626315,4,25.0,0.5613634639192295,0,4.0,0.43751437727214304,0,0.0,0.7712369015958063,0,0.0,0.9507798834531861,0,0.0,0.7510275860867655,0,0.0,0.9682268959163597,14,81.0
30.0,20,158.0,1.975,7.840922394657494,80,6,51.0,0.40646748564604757,0,0.0,0.9378733556000103,0,0.0,0.9684411138287341,0,0.0,0.9306458799699959,5,45.0,0.3628522783157345,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.587486136291813,0,0.0,0.9399882359751411,6,52.0,0.40115006379465235,0,4.0,0.86968897940908,1,4.0,0.14931100197351707,0,0.0,0.9536181209653215,2,8.0,0.5430861924159172,0,0.0,1.0,20,167.0
35.0,28,283.0,2.9479166666666665,8.00545768816959,96,8,89.0,0.3676241337163907,1,1.0,0.6438912812242061,0,4.0,0.7382112583528865,0,0.0,0.9781598981799731,7,77.0,0.33076959803958367,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9978656254461455,0,0.0,0.9637758982222311,0,0.0,0.9686267521337101,8,90.0,0.3678545689695666,0,0.0,0.8484589195690443,0,4.0,0.849987158838044,0,0.0,0.8980857613459425,4,26.0,0.495405676684289,0,0.0,1.0,28,291.0
40.0,41,461.0,4.116071428571429,7.305115178311368,112,10,134.0,0.41996977250928236,2,10.0,0.42245274681688694,0,4.0,0.9407356048731508,0,0.0,0.9302686058569422,10,122.0,0.27325680741050384,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9435764921052975,0,0.0,0.9693155244343554,0,0.0,0.9477008378613452,10,137.0,0.37238029024558755,1,2.0,0.30328362154682115,0,4.0,0.9409057263353904,1,1.0,0.6705976539505694,7,55.0,0.4426179252921198,0,0.0,1.0,41,469.0
45.0,52,678.0,5.65,5.706718229685218,120,12,188.0,0.3023499093539494,0,5.0,0.4882961695103042,0,2.0,0.8717685171794586,0,0.0,0.9381707599469369,11,175.0,0.28501145053316224,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9503066375966887,0,0.0,0.6060232910837848,0,0.0,0.9628257429894816,12,193.0,0.2916234956294264,5,22.0,0.11847956982840298,0,2.0,0.48067829953495,3,10.0,0.2758436098848533,9,94.0,0.3594887035625282,0,0.0,1.0,52,691.0
50.0,55,751.0,5.562962962962963,5.506447900530846,135,8,178.0,0.35824713484726933,0,4.0,0.704091090376027,1,2.0,0.27567902656116394,0,0.0,0.9562559826182396,14,241.0,0.2506520261299746,0,0.0,1.0,0,0.0,1.0,0,0.0,0.948518137875294,2,9.0,0.4788887757105,0,0.0,0.9282495221918854,14,258.0,0.260751551517078,0,24.0,0.5658500577751406,5,20.0,0.07564867765083574,0,10.0,0.3911837414846735,11,141.0,0.33244037599727705,0,2.0,0.44674242094951844,55,889.0
