step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.379090130505542,0,0.0,0.9442987077222054,0,0.0,0.9450635813637946,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9468952193745246,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9500375121565168,0,0.0,0.9455390132761997,0,0.0,0.9481012711273034,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9494133474200572,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.918501442735234,0,0.0,0.9732034800390407,0,0.0,0.9741901364777477,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9735566362026231,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9747102790813252,0,0.0,0.975031243354867,0,0.0,0.9736218976896226,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.977192141584944,0,0.0,1.0,0,0.0
15.0,4,4.0,0.1,10.597896695062555,0,0.0,0.8285823335523701,0,0.0,0.9412608391322446,0,0.0,1.0,0,0.0,1.0,1,1.0,0.7281715546137209,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6679049437604788,0,0.0,0.9719029411440099,1,1.0,0.7378957009405841,0,0.0,0.931017605822213,0,0.0,1.0,0,0.0,0.9649567344382702,1,1.0,0.5340848365974895,0,0.0,1.0,4,4.0
20.0,12,48.0,0.8571428571428571,8.651861839055908,2,7.0,0.6513004940751065,1,1.0,0.6503338316151756,0,0.0,1.0,0,0.0,1.0,2,9.0,0.547551771307261,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,9.0,0.4893017888901466,0,0.0,0.9537935971986249,2,9.0,0.5985173997343809,0,0.0,0.901151237266962,0,0.0,1.0,0,0.0,0.9350376685657508,3,13.0,0.45795177675285814,0,0.0,1.0,12,48.0
25.0,17,117.0,1.625,7.821147156234228,4,24.0,0.5429284570004124,2,9.0,0.4413594568066637,0,0.0,1.0,0,0.0,1.0,3,24.0,0.37423297031662534,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.6404404491367454,0,0.0,0.910519981231421,4,28.0,0.5840144159372056,0,0.0,0.6286115362621324,0,4.0,0.4524669662795112,0,0.0,0.948864353862648,4,32.0,0.4014860118609782,0,0.0,1.0,17,124.0
30.0,31,247.0,3.0875,7.306799041909741,6,51.0,0.49899873310846704,5,29.0,0.31255131024070093,0,0.0,1.0,0,0.0,0.9340340150570632,6,51.0,0.295650813342628,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9169701187440902,0,0.0,0.9747561651694218,6,54.0,0.4422824880290937,1,3.0,5.022132727509275e-05,0,4.0,0.8922184030444344,0,0.0,0.9417771843690549,7,59.0,0.4126992069588452,0,0.0,1.0,31,251.0
35.0,33,342.0,3.5625,6.98053823943382,7,84.0,0.38373042567524246,7,61.0,0.30674983347752155,0,0.0,1.0,0,0.0,0.9575453012215739,8,87.0,0.24330893015572994,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9357189045541953,0,0.0,0.9372636751818163,2,44.0,0.5186763271190991,1,12.0,0.32712217512366265,0,4.0,0.8961148286802176,0,0.0,0.9701933837007493,8,97.0,0.3794241865287213,0,0.0,1.0,33,389.0
40.0,35,430.0,3.8392857142857144,7.272821631623998,10,129.0,0.4037068377833108,2,52.0,0.3963019536279713,0,0.0,0.7879599399367883,0,0.0,0.9494279598727743,10,133.0,0.3395042477934348,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9485658001581913,0,0.0,0.9650038336348429,0,0.0,0.9475834488024549,2,9.0,0.5661341834573278,1,21.0,0.6765090116234519,0,0.0,0.7702282586387414,0,0.0,0.938808011365477,10,142.0,0.21199200861014575,0,0.0,1.0,35,486.0
45.0,38,575.0,4.791666666666667,7.433931110356315,12,183.0,0.3195546477526607,0,10.0,0.5438673663036363,0,0.0,0.9076204339515082,0,0.0,0.9693980976368322,12,189.0,0.2977023197500966,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9673985602236947,0,0.0,0.9424857096198833,0,0.0,0.9439254526351132,3,13.0,0.47494778676836813,0,8.0,0.8868820802369619,0,0.0,0.9241122615718822,0,0.0,0.9461795590152998,11,200.0,0.19729811172153194,0,2.0,0.5025128978777668,38,605.0
50.0,47,791.0,5.8161764705882355,7.5003082771654395,14,248.0,0.3020997132531595,0,0.0,0.9678289877646136,0,0.0,0.769251753951059,0,0.0,0.967697555973386,13,252.0,0.17700654666376883,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9618832411048203,0,0.0,0.9493723493208291,0,0.0,0.9454696291890653,5,34.0,0.4801304246833945,2,8.0,0.6660743520440793,0,0.0,0.9358390225009862,0,0.0,0.9362714580174093,13,263.0,0.3497579768497282,0,2.0,0.9831690938097511,47,807.0
