step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,total_vehicle,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
55.0,47,768.0,5.052631578947368,7.1096000169636575,152,3,110.0,0.39120667879684445,0,7.0,0.699259606385299,2,43.0,0.6746249191204973,0,0.0,0.987419791676265,15,339.0,0.36236211286982856,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9532083730226166,0,4.0,0.6221841267879967,0,0.0,0.9673948645975281,15,330.0,0.1434165616543109,2,8.0,0.21815826454931922,5,21.0,0.07288949702819718,0,0.0,0.9750560525615937,5,30.0,0.5379099567360398,0,0.0,0.855680672385063,47,892.0
60.0,47,953.0,5.9937106918239,7.529470586770493,159,3,91.0,0.3667408314589388,0,4.0,0.9339939190783336,2,57.0,0.6609822593158244,0,0.0,0.937942151453763,17,416.0,0.2072559387818492,0,0.0,0.7513234533436861,0,0.0,0.9991419688318771,0,0.0,0.9707141916861172,0,0.0,0.8659034571333216,0,0.0,0.9383455241238017,17,414.0,0.10293938101277454,2,18.0,0.6275660088184625,0,21.0,0.6367856129484121,0,0.0,0.9252752999263052,6,58.0,0.43930042779115336,0,0.0,0.9076473965902977,47,1079.0
65.0,54,1135.0,6.637426900584796,6.8399834457483495,171,7,104.0,0.3401540137560188,2,8.0,0.47536439616392967,0,9.0,0.4525032335994593,0,4.0,0.6765341789301225,19,508.0,0.1631395183876155,0,0.0,0.944545459669747,0,0.0,0.9465345952348628,0,0.0,0.9534538547269928,0,0.0,0.9695169763071606,0,0.0,0.5664591229201736,19,508.0,0.224663924811823,0,4.0,0.8792771324101017,0,4.0,0.9051505851549543,0,0.0,0.9392143543654105,7,92.0,0.31713493787586583,0,2.0,0.4184967583503558,54,1243.0
70.0,68,1442.0,8.101123595505618,6.7514381821898555,178,13,158.0,0.3661430523183823,1,10.0,0.5184300429961133,0,4.0,0.771129655321101,0,4.0,0.8982938944190728,21,608.0,0.18160314678413012,0,0.0,0.6030134751128791,0,0.0,0.026659337206179388,0,0.0,0.9593746731405591,0,2.0,0.7185468690373474,3,12.0,0.4783382312668769,21,609.0,0.28990017032812204,0,0.0,0.9018458407138079,0,0.0,0.8857881035792756,0,0.0,1.0,9,134.0,0.20941851088811925,0,4.0,0.9554164977221387,68,1545.0
75.0,81,1790.0,9.944444444444445,5.814574440833741,180,15,227.0,0.2594367819998584,2,6.0,0.5549348279739756,2,3.0,0.6329485693591794,0,4.0,0.8783076739066006,23,718.0,0.07954035581171993,0,1.0,0.1991320868406069,1,5.0,0.6578341447793923,0,0.0,0.9649630448162134,2,10.0,0.7517667595101801,0,8.0,0.5867246446154807,23,714.0,0.2194852418849176,1,2.0,0.2753148986126822,0,0.0,0.9279152553459702,0,2.0,0.5542710639323125,12,188.0,0.23894056069525044,0,4.0,0.9297944382956649,81,1892.0
80.0,91,2196.0,11.378238341968911,5.762106802588335,193,17,308.0,0.243364598898508,1,8.0,0.49028495737340716,3,18.0,0.594447201628032,2,8.0,0.323515821356428,25,838.0,0.055487471874698324,0,0.0,0.9418835406190557,0,0.0,0.936471558010122,0,0.0,0.9491829160516676,0,4.0,0.8200262702687698,0,0.0,0.8626167175292212,25,833.0,0.19336767049836187,4,20.0,0.14431001767018845,0,2.0,0.4308201393269241,0,4.0,0.8778434166876746,14,252.0,0.34885617409111097,0,0.0,0.8844061328702865,91,2295.0
85.0,100,2642.0,12.825242718446601,5.8832632048443445,206,19,397.0,0.2447500505047029,1,11.0,0.7909232207263535,3,33.0,0.35745455591633224,6,28.0,0.0015813685070952023,27,966.0,0.11046103989138882,0,0.0,0.9040284392135843,0,0.0,0.8935893783649203,0,0.0,0.934922552579789,2,7.0,0.4672360700469989,0,0.0,0.9458160287151911,26,961.0,0.18947661997826157,0,15.0,0.6787073179655537,0,4.0,0.9482695636974571,0,4.0,0.9007271914683785,16,326.0,0.337206321103585,0,4.0,0.4483467517871279,100,2756.0
90.0,105,2938.0,14.262135922330097,5.438521509256728,206,20,494.0,0.18724102618767505,1,16.0,0.7254843438480438,3,48.0,0.0,7,63.0,0.2805490707821379,29,1105.0,0.10583968069593293,0,0.0,0.9312095610839022,0,0.0,0.854095102089988,0,0.0,0.9839920920379375,6,30.0,0.3837434073114176,0,0.0,0.9863836657572167,28,1098.0,0.13056986071640614,0,4.0,0.911270424586037,0,4.0,0.906001650832288,0,0.0,0.8996900514823786,11,312.0,0.2819505426813701,0,8.0,0.7382697473221776,105,3182.0
95.0,106,3232.0,14.690909090909091,5.5073524269656655,220,22,602.0,0.18671882716854762,1,21.0,0.7694180198295675,0,18.0,0.5320496585349235,7,102.0,0.46875782213464157,30,1252.0,0.05887057090628213,0,0.0,0.9644196063384018,0,0.0,0.8375610294414845,0,0.0,0.9774123640672971,6,60.0,0.37694128638573965,0,0.0,0.7906983057745345,30,1245.0,0.13152093614880603,2,4.0,0.5602511059253195,0,0.0,0.9083306439957469,0,0.0,0.9257078929178828,8,217.0,0.31480432029245803,0,6.0,0.8611464147659664,106,3527.0
100.0,109,3622.0,15.67965367965368,5.055690891365755,231,24,720.0,0.15567633583335264,0,0.0,0.7488472108037489,0,0.0,0.9409352483853821,7,137.0,0.5472428268209598,32,1412.0,0.04708959234242702,0,0.0,0.7065551107771654,3,6.0,0.0021615387385873178,0,0.0,0.9489044910931703,0,49.0,0.5253424948755143,3,12.0,0.45628631025050737,32,1402.0,0.14189825154127716,4,20.0,0.24903408585059664,0,0.0,0.969356493124609,0,0.0,0.9071313669875564,4,231.0,0.2941807565300534,0,6.0,0.7880299502364083,109,3995.0
