step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,total_vehicle,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.208506359518822,16,0,0.0,0.9275998372417479,0,0.0,0.930837349424129,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9296384085246374,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.931010873475389,0,0.0,0.9274699914038633,0,0.0,0.935612122314752,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9302171931228603,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.83533638540274,32,0,0.0,0.9731876114839103,0,0.0,0.9763647088194134,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9755409479679328,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9766401690164112,0,0.0,0.97460508002606,0,0.0,0.9174281880977935,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9611387878366973,0,0.0,1.0,0,0.0
15.0,1,1.0,0.025,11.446828329304662,40,1,1.0,0.8414028454808314,0,0.0,0.7584796332264441,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7293467165983274,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9869895495172493,0,0.0,0.7920700892377461,0,0.0,0.9772732173725732,0,0.0,0.5472981260187801,0,0.0,0.9115304356333096,0,0.0,1.0,0,0.0,0.9757030051747627,0,0.0,0.6224644336818467,1,1.0
20.0,12,33.0,0.5892857142857143,9.897558777571716,56,2,7.0,0.6979492820783717,3,7.0,0.5426603150986874,0,0.0,1.0,0,0.0,1.0,3,10.0,0.49288284604583776,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.7739124445476969,3,8.0,0.45944423995537587,0,0.0,0.9213477314937067,0,0.0,0.9561872309640997,0,0.0,0.9617866500152253,0,0.0,1.0,0,0.0,0.9652580363960447,0,0.0,0.9560369919830709,12,33.0
25.0,15,69.0,0.9583333333333334,8.557212778520702,72,5,26.0,0.518400372771427,0,4.0,0.6274869893130608,0,0.0,1.0,0,0.0,1.0,5,30.0,0.42918772326554344,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,7.0,0.5644016408125914,0,7.0,0.6222618394803517,2,4.0,0.756988858475366,0,4.0,0.6884768881670202,0,0.0,0.9105719799615797,0,4.0,0.43577610702961267,1,2.0,0.6095410178419015,0,0.0,0.9520784783756511,15,88.0
30.0,19,138.0,1.725,8.152053765866624,80,6,53.0,0.43946824086896485,0,0.0,0.9313067135309099,0,0.0,0.9410332518664939,0,0.0,1.0,6,57.0,0.25658208476210187,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.561478861899103,0,0.0,0.8475065531512485,3,15.0,0.649304523496622,0,4.0,0.8526713765015699,1,1.0,0.5771869408220598,0,4.0,0.8264639641694146,3,12.0,0.46245773408015095,0,0.0,1.0,19,147.0
35.0,25,250.0,2.6041666666666665,8.34605144171251,96,8,89.0,0.42999318190040337,0,0.0,0.7218968741308096,0,2.0,0.7770717585842462,0,0.0,1.0,8,95.0,0.2641937715134947,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9021237166678228,0,0.0,0.97252394377377,4,34.0,0.4686251824171328,0,4.0,0.8817308637100955,0,4.0,0.8714095669494243,0,4.0,0.911657965168821,5,32.0,0.46733780447037265,0,0.0,1.0,25,264.0
40.0,38,415.0,3.705357142857143,7.0817235637352836,112,9,132.0,0.41651117275997124,2,7.0,0.547293937703408,1,6.0,0.6569205310535784,0,0.0,1.0,10,140.0,0.2738754856930578,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9563681005283191,0,0.0,0.965526962000814,7,66.0,0.44917318909552656,0,0.0,0.8490512300820272,1,7.0,0.6519579925018923,1,6.0,0.3884330935881594,7,63.0,0.4703142975687599,0,0.0,0.9625969705804394,38,427.0
45.0,50,639.0,5.325,5.693526322472795,120,11,185.0,0.3152802150611972,3,22.0,0.39917083994986363,2,14.0,0.641033307895324,0,4.0,0.46147913659884887,11,193.0,0.1346182795445966,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0,0.6413060429578363,0,0.0,0.9574270475620715,8,104.0,0.3432623659801273,2,3.0,0.007085182170078828,3,17.0,0.4761364172978131,1,9.0,0.4707098916396284,8,101.0,0.42835172946757194,0,0.0,0.940423851182726,50,654.0
50.0,60,897.0,6.595588235294118,6.094409725633962,136,13,249.0,0.30165037256752103,0,13.0,0.4809845705253676,3,25.0,0.6378551165820932,0,4.0,0.8122911564868213,14,258.0,0.28351956398293293,0,0.0,1.0,0,0.0,0.9280499942672203,0,0.0,1.0,2,10.0,0.5605172233949897,0,0.0,0.961934166624693,10,152.0,0.3852900228560312,4,24.0,0.09056649957421416,3,32.0,0.2499885274417261,0,0.0,0.8494050106679426,11,149.0,0.3135523070037214,0,0.0,0.5525293140357959,60,916.0
55.0,63,1003.0,6.642384105960265,6.230505599009187,151,9,239.0,0.3043355684799858,0,2.0,0.7178651706493463,3,40.0,0.5518606995762119,0,4.0,0.9038874567221012,16,331.0,0.308974108169926,0,0.0,1.0,0,0.0,0.9474308798925153,0,0.0,1.0,0,3.0,0.6107337883907344,0,0.0,0.9612572101571368,13,209.0,0.29554447683138463,4,46.0,0.5262915163155287,3,51.0,0.15596581736562948,0,0.0,0.9167248820696663,12,205.0,0.2854778145570423,3,10.0,0.0020055655715132234,63,1140.0
60.0,53,1033.0,6.49685534591195,6.729708687177806,159,4,126.0,0.34993549831684195,2,10.0,0.7015082495054875,3,55.0,0.23182846406171428,0,0.0,0.8756089738036714,17,414.0,0.26596717277240617,0,4.0,0.42638956777647696,0,0.0,0.9038899829889473,0,0.0,0.9316648007404882,0,0.0,0.9590930562641591,0,0.0,0.9472933948191309,13,274.0,0.11710399069436772,0,29.0,0.7090008586232687,0,22.0,0.7275879454467236,0,4.0,0.7504738089179147,14,272.0,0.2700950479264255,0,10.0,0.440834131213951,53,1220.0
