step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,total_vehicle,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.520851029826458,16,0,0.0,0.9171741472276668,0,0.0,0.9167426995898704,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9126439776637381,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9151473305577054,0,0.0,0.8979668607671971,0,0.0,0.9169119968661597,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9142268657991737,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.995330478905162,32,0,0.0,0.9258316129377857,0,0.0,0.9637952650748969,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9649797292178626,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9642292673510462,0,0.0,0.9639914850705241,0,0.0,0.9659981132078398,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8761723949503435,0,0.0,1.0,0,0.0
15.0,4,4.0,0.1,10.618387630578674,40,1,1.0,0.7651770234778895,1,1.0,0.6287315353394167,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6872914369141305,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.951300536359111,0,0.0,0.9536552424961353,1,1.0,0.660982994765991,0,0.0,1.0,0,0.0,0.9766887137269165,0,0.0,0.9756097704578487,0,0.0,0.9411975655605969,0,0.0,0.4382745814652526,4,4.0
20.0,11,39.0,0.6964285714285714,9.59332321650013,56,3,10.0,0.6810660598922327,2,9.0,0.5181955984440396,0,0.0,1.0,0,0.0,1.0,3,10.0,0.4116357532827114,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7396222299744173,0,0.0,0.9703394484644414,3,10.0,0.6588231663523733,0,0.0,1.0,0,0.0,0.9358244060531546,0,0.0,0.9274213424326392,0,0.0,0.9424467378196422,0,0.0,0.9447451655943185,11,39.0
25.0,18,113.0,1.5694444444444444,8.187434036482749,72,4,26.0,0.6458185372659797,4,26.0,0.3790769375617552,0,0.0,1.0,0,0.0,1.0,5,30.0,0.3465287625575674,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,4.0,0.6437806967309259,0,0.0,0.9487657536942935,3,25.0,0.5127777125887175,0,0.0,1.0,0,0.0,0.49535531825317725,0,0.0,0.750241021326961,1,2.0,0.7329188552173281,0,0.0,0.9588127863106903,18,113.0
30.0,25,200.0,2.5,6.562995869142675,80,6,50.0,0.4466322694373512,0,20.0,0.4052069989285269,0,0.0,0.9399290684506565,0,0.0,1.0,6,60.0,0.2714541226124914,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,17.0,0.32672725175375034,0,0.0,0.9695829395250689,6,53.0,0.4654835734859379,0,2.0,0.43915885045905884,1,5.0,0.008623411549613868,1,4.0,0.6784120722111237,2,11.0,0.5669168020464949,0,0.0,0.969520082217903,25,222.0
35.0,32,317.0,3.3020833333333335,7.017266020014972,96,8,86.0,0.40351560179870777,0,0.0,0.755543273496615,0,0.0,0.8473181059246063,0,4.0,0.41479107886324107,9,98.0,0.21650323182033648,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,14.0,0.4527053522261022,0,0.0,0.7044887607301936,8,89.0,0.44228254159593705,0,4.0,0.8372434894982496,2,16.0,0.13696592728825605,0,0.0,0.84866083301727,5,30.0,0.5159322746479149,0,0.0,1.0,32,341.0
40.0,42,501.0,4.473214285714286,7.08532422732753,112,10,131.0,0.37446564688244055,1,1.0,0.6795266217287995,1,2.0,0.6059624953634309,0,4.0,0.8969195517976468,10,144.0,0.35770690310289305,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8203485476072774,2,8.0,0.48955116947262434,10,135.0,0.33876324606384217,0,4.0,0.9163029167061775,2,28.0,0.6458770979029105,0,0.0,0.8122928654395491,6,56.0,0.4260940572740265,0,0.0,1.0,42,513.0
45.0,45,680.0,5.666666666666667,6.631982978812166,120,12,187.0,0.33238984540381183,2,10.0,0.5736881330614152,0,4.0,0.4195990401234866,0,6.0,0.8397250545516632,11,197.0,0.2781918872854414,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9491544944685173,0,8.0,0.5730444135098062,12,192.0,0.33740733371404563,0,0.0,0.6083000239582658,0,4.0,0.8880144977022842,0,2.0,0.3651341214992661,8,94.0,0.39256803196053125,0,0.0,0.8451979770366393,45,704.0
50.0,51,909.0,6.6838235294117645,7.125053977045535,136,14,253.0,0.2882928894313395,0,2.0,0.6136628987928805,0,4.0,0.9575130585222467,0,2.0,0.8881935823322886,14,263.0,0.16839522609303262,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6264883085529791,0,0.0,0.929523037899046,0,0.0,0.9490262793091399,13,253.0,0.26685577929729604,0,2.0,0.42954574203282303,0,0.0,0.859422736559316,0,4.0,0.8536271474500362,10,140.0,0.4052615740990661,0,0.0,0.9004434235045563,51,923.0
