step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,14.481373275126163,0,0.0,0.9901222694454246,0,0.0,0.9908303262191159,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9883349021297573,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.990667025929963,0,0.0,0.9907369139850926,0,0.0,0.9894026645582655,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9906069388884013,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.722538216586315,0,0.0,0.9702945202708904,0,0.0,0.9749433499311835,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8878484700720235,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.974937018917037,0,0.0,0.9725872745328963,0,0.0,0.9714817293471347,0,0.0,1.0,0,0.0,0.9760517337962384,0,0.0,1.0,0,0.0,0.9141219765842996,0,0.0,1.0,0,0.0
15.0,1,2.0,0.05,10.374804260080989,0,0.0,0.7063071625706887,0,0.0,0.9589146960196362,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9420697888038068,0,0.0,0.5117536741363905,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7430590538996442,0,0.0,0.5849964539962749,0,0.0,0.6181075473593347,0,0.0,0.9908303262191159,0,0.0,0.936037096680586,0,0.0,1.0,1,2.0,0.5667889672155131,0,0.0,1.0,1,2.0
20.0,9,35.0,0.625,9.454471209892404,2,10.0,0.669350777380683,0,0.0,0.9502189151653464,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9349942816019117,0,0.0,0.9615289786779487,0,0.0,1.0,0,0.0,1.0,1,4.0,0.634248790459279,3,10.0,0.497136696979659,3,11.0,0.43768489264587934,0,0.0,0.9480386076796652,0,0.0,0.1114220320086757,0,0.0,1.0,0,0.0,0.73886723803833,0,3.0,0.42924163832976414,9,38.0
25.0,2,6.0,0.08333333333333333,9.57288353933348,0,4.0,0.6414178293870593,0,0.0,0.9557865698475648,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9505523155294896,0,0.0,0.8261262010978581,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7976672562780062,0,5.0,0.5486496447197939,0,11.0,0.5262257755241406,1,4.0,0.506722980728738,1,8.0,0.2856580377376587,0,4.0,0.44897181231497907,0,0.0,0.945639240005072,0,3.0,0.9524049420694274,2,39.0
30.0,4,13.0,0.1625,10.74696814581701,3,12.0,0.6300912892030222,1,1.0,0.4903478487093189,0,2.0,0.40409650247089074,0,0.0,1.0,0,0.0,0.6282756766273583,0,0.0,0.7559036396545301,0,0.0,0.7001410350670734,0,0.0,1.0,0,0.0,0.9191542174418557,0,0.0,0.941956449351022,0,2.0,0.8774567276797388,0,4.0,0.8142885618405826,0,4.0,0.9433869050372622,0,4.0,0.8545595994380765,0,0.0,0.6821494503922032,0,6.0,0.7710759752573363,4,35.0
35.0,15,63.0,0.65625,10.665419120290155,5,31.0,0.5641783393871402,3,14.0,0.5385558169819379,0,2.0,0.9320213097634753,0,0.0,1.0,3,8.0,0.4906568901377808,0,0.0,0.9563964234097855,0,0.0,0.955661854271169,0,0.0,1.0,0,0.0,0.9647666896707479,1,1.0,0.6450940324640102,0,2.0,0.8832998728196282,0,4.0,0.8811230733885472,0,2.0,0.9408319721862003,0,2.0,0.819020007055369,3,9.0,0.49546092637897726,0,4.0,0.8828813539636258,15,79.0
40.0,10,46.0,0.4107142857142857,8.802963726365133,1,22.0,0.5922999962535889,3,33.0,0.5313019205512786,0,0.0,0.8937723682365019,0,0.0,1.0,0,7.0,0.5687906165469284,0,2.0,0.6003968972524414,0,0.0,0.9400587992954107,0,0.0,1.0,1,1.0,0.7461533976381944,2,8.0,0.5731067593837161,2,4.0,0.6680639896593776,0,4.0,0.4825973949823234,0,0.0,0.972200718032031,1,5.0,0.2057298480173056,0,4.0,0.6896815419183829,0,6.0,0.7816041318143448,10,96.0
45.0,23,112.0,0.9333333333333333,8.458153984529247,2,6.0,0.6601063805223482,3,48.0,0.6632999555654039,2,5.0,0.5994991293125254,0,3.0,0.41910395209019746,0,0.0,0.9605408186383299,0,4.0,0.8303799733139895,0,0.0,0.9596599570746314,0,0.0,0.956097908692643,3,10.0,0.42414929836536414,0,2.0,0.6896690500951491,4,21.0,0.4449912892456063,6,23.0,0.396820240452284,0,0.0,1.0,1,15.0,0.216078753584072,0,0.0,0.8300222996635443,2,12.0,0.5946642778568383,23,149.0
50.0,14,114.0,0.8382352941176471,9.100710172940952,3,18.0,0.6531101187896214,3,63.0,0.6956567337764158,4,25.0,0.5301408619189288,0,3.0,0.8690305263362217,0,0.0,0.9445391144912293,0,8.0,0.8069670609094537,0,0.0,0.7000079783796482,0,0.0,0.8694376400996913,0,6.0,0.5830288923528804,0,0.0,0.9045787631900554,1,18.0,0.41462858156716936,2,31.0,0.3375952883787426,0,6.0,0.43186399382314705,0,7.0,0.8678164416273045,1,4.0,0.7197675220560243,0,9.0,0.6788027353456836,14,198.0
55.0,18,114.0,0.75,8.156849377565873,1,9.0,0.5935152764928819,5,82.0,0.4090738605353514,1,18.0,0.29626066079142904,0,5.0,0.8112395723336129,0,2.0,0.6911648851825624,2,10.0,0.5906156295904397,1,4.0,0.36286780802919893,1,2.0,0.3594886780352823,0,0.0,0.9069531875724174,1,2.0,0.707917674061465,1,11.0,0.6316231664270485,3,24.0,0.5869653964682342,0,8.0,0.819812471789782,0,4.0,0.9105620562274964,0,3.0,0.4693973951166024,2,6.0,0.3414149855782861,18,190.0
60.0,45,236.0,1.475,7.442959536289285,3,12.0,0.6120825448621704,10,120.0,0.22617897015648175,4,16.0,0.004835773658429487,0,4.0,0.9375195852595948,2,7.0,0.7836002099360132,7,30.0,0.3937136388890616,3,13.0,0.00017834483929591024,0,1.0,0.7283424646983327,0,0.0,0.9644460996562746,3,12.0,0.4165174615969972,2,8.0,0.6917930770028989,1,25.0,0.6098282622892265,0,8.0,0.9184138819298214,1,5.0,0.2731598481014709,2,7.0,0.5159091424619794,7,33.0,0.15839153558368543,45,301.0
65.0,49,409.0,2.3238636363636362,7.273150870882237,5,33.0,0.4920785324491108,13,183.0,0.22399857669905768,0,15.0,0.49460135242251485,1,10.0,0.6894576251294522,3,17.0,0.6306772774403211,9,69.0,0.09151632705663287,0,8.0,0.437517771652345,0,0.0,0.8290393637153328,0,0.0,0.9483654431391647,0,6.0,0.528003009552806,4,22.0,0.6970603406186989,1,17.0,0.4998004432234716,1,5.0,0.48164828935546017,0,8.0,0.27991297540318233,3,20.0,0.43266506653063824,9,74.0,0.36383261281341606,49,487.0
70.0,45,456.0,2.387434554973822,8.001975275770157,1,29.0,0.5589579815344321,13,252.0,0.25438912372530315,0,2.0,0.8382766852834505,1,11.0,0.812560947902126,5,39.0,0.4921654827303282,3,72.0,0.06601429732908073,0,6.0,0.8187407245262143,2,4.0,0.29271545698015006,0,0.0,0.9761926873377427,0,0.0,0.9727474706431842,5,44.0,0.5590691913624418,1,11.0,0.4452804163281044,6,24.0,0.34748093185712786,0,4.0,0.847236767796506,5,43.0,0.5096380777630417,3,75.0,0.5362280961923123,45,616.0
75.0,37,474.0,2.4947368421052634,7.995139768182243,2,6.0,0.59150771020439,13,317.0,0.386908264222792,0,4.0,0.8240985579648875,1,16.0,0.7649892055088037,1,31.0,0.3023917421349878,1,35.0,0.3209984500153073,0,8.0,0.8953478498345282,0,6.0,0.222307694094849,0,0.0,0.9216273635220059,1,3.0,0.6407067983078003,8,79.0,0.3543114045999084,1,5.0,0.5393215983214863,6,56.0,0.5137082445365599,0,4.0,0.8715250039106267,2,36.0,0.5703857955588768,1,33.0,0.329240467208196,37,639.0
80.0,53,658.0,3.357142857142857,6.879697646878489,2,7.0,0.5672962076964796,13,382.0,0.2678045693860913,3,10.0,0.5475091393550505,3,24.0,0.14080878108371606,2,14.0,0.5245259214274275,3,41.0,0.5481355374238215,0,4.0,0.9107914655502187,0,0.0,1.0,0,0.0,0.9549837242508055,3,11.0,0.45250759859937556,9,125.0,0.22167023923107598,4,16.0,0.3574962486044021,6,86.0,0.5495869920853779,2,6.0,0.2539011291073384,2,13.0,0.6338974964680312,1,17.0,0.4399571271863215,53,756.0
85.0,51,694.0,3.3689320388349513,6.250833689444718,4,22.0,0.5709913297073215,18,459.0,0.16267145364388966,4,20.0,0.2880544110191159,1,16.0,0.18325739232260682,2,22.0,0.6620734360157361,3,56.0,0.6969716544305126,1,5.0,0.5036831569206535,0,4.0,0.5952075567959153,0,0.0,0.9677848072546864,0,4.0,0.6194371560355151,5,120.0,0.45049115396544764,0,16.0,0.5557507641903802,9,122.0,0.27903029331366536,0,8.0,0.21059829051842757,3,16.0,0.3371509653478626,1,21.0,0.6773056294734935,51,911.0
90.0,55,606.0,2.8995215311004783,7.524160356522806,5,45.0,0.5357813364628886,14,431.0,0.18483762407852156,7,34.0,0.31493979465774136,0,6.0,0.7873044672248863,1,7.0,0.8408466575467652,4,73.0,0.550458701244536,1,9.0,0.7304368303884533,0,4.0,0.881976119135104,0,4.0,0.7708921089789504,0,0.0,0.968853094818051,0,52.0,0.6255345029505899,0,4.0,0.859484230309074,13,176.0,0.24874100338128863,0,4.0,0.8066679707501292,6,40.0,0.372167938360008,4,31.0,0.4760224410224488,55,920.0
95.0,54,497.0,2.2590909090909093,7.209868494858106,2,35.0,0.446319575397309,5,316.0,0.32680936146207756,8,70.0,0.3139879209047436,0,4.0,0.90153888513082,1,12.0,0.7055404675901017,9,107.0,0.17489045209457676,0,4.0,0.8889626106514793,0,4.0,0.8512430735387817,0,4.0,0.7989845751663666,1,1.0,0.6513773329286344,3,53.0,0.363085169256112,0,4.0,0.9197396761279376,14,246.0,0.20663358614616884,1,6.0,0.7351070806485246,3,40.0,0.31707204317960597,7,63.0,0.509607259459345,54,969.0
100.0,73,665.0,2.8297872340425534,6.72689510113066,3,13.0,0.5774293839590934,3,289.0,0.45191321255462263,8,110.0,0.3040532924298001,1,5.0,0.23292622258560527,4,25.0,0.5878814906662313,10,100.0,0.20285132046138135,0,4.0,0.8168954740791605,3,9.0,0.32486574748394187,1,9.0,0.7208071810342505,3,12.0,0.4950629640186451,9,82.0,0.2166263788436848,0,2.0,0.6475590785904078,14,316.0,0.16295281999358477,4,16.0,0.11298725662873722,3,22.0,0.6175337008069687,7,94.0,0.566209933345638,73,1108.0
105.0,68,532.0,2.225941422594142,5.950910264367221,3,17.0,0.37381906791367214,7,315.0,0.264581344423692,2,98.0,0.4668243598929193,5,29.0,0.14171612019729773,2,23.0,0.34857304370928416,3,72.0,0.5207786331977149,4,10.0,0.5327767757264845,6,36.0,3.3795304486421066e-05,4,19.0,0.4718142582684701,0,8.0,0.7143752459276606,12,139.0,0.17110146497553236,0,2.0,0.7893704689874931,8,295.0,0.3059645160485738,1,23.0,0.3038934253556527,4,24.0,0.49085644886095,7,129.0,0.3919771543559334,68,1239.0
110.0,60,399.0,1.6285714285714286,6.379149898855869,6,35.0,0.4474717833819768,14,372.0,0.21530330072719964,0,36.0,0.33747694643741544,0,30.0,0.6732877118592304,3,21.0,0.6599389218828484,0,49.0,0.570065158143036,9,45.0,0.4265259787251368,0,37.0,0.25386176947839556,2,19.0,0.39833385433877877,0,0.0,0.8840310373161279,14,205.0,0.29654248644339176,0,2.0,0.8480438299199172,0,168.0,0.21324003726296464,0,8.0,0.8448156766285885,7,43.0,0.34187872913761563,5,107.0,0.0694826566184843,60,1177.0
115.0,61,433.0,1.7114624505928853,7.27014439341237,9,75.0,0.42454238841533526,19,459.0,0.167134620662773,2,43.0,0.5503877832320861,0,8.0,0.9067194108448434,1,13.0,0.8085209465099861,6,61.0,0.4416743723082356,5,66.0,0.26605592210182694,0,4.0,0.8461741685445326,2,13.0,0.643618476582734,0,0.0,0.8305424563047743,9,207.0,0.4098282311864822,0,4.0,0.7251121777238229,2,148.0,0.41824600756562735,1,10.0,0.866597253684393,5,44.0,0.28520834839803305,0,38.0,0.4814294367987042,61,1193.0
120.0,72,587.0,2.2576923076923077,7.077694756637783,11,126.0,0.291282206830748,19,554.0,0.13040871124866502,2,51.0,0.7050434549417245,0,0.0,0.43965106274684224,4,11.0,0.5302949481392458,8,96.0,0.17660054789339455,6,47.0,0.3577675651062303,0,4.0,0.8693804926989266,2,22.0,0.5727286392166866,2,5.0,0.3613595624807655,2,135.0,0.4204858182187706,0,4.0,0.8535368199764611,8,177.0,0.3911627864356225,3,13.0,0.48459089709216246,2,18.0,0.4624430798481506,3,42.0,0.5834716052558359,72,1305.0
125.0,90,892.0,3.3408239700374533,6.601329410376382,13,186.0,0.3008788418421393,19,649.0,0.1686697978536046,5,67.0,0.3069743390505212,3,11.0,0.23434771837950438,5,32.0,0.400998192738196,8,105.0,0.16587304444103548,8,72.0,0.3354906188269887,0,0.0,0.7002935965162791,0,0.0,0.8593338195067558,5,33.0,0.4107195187016911,0,96.0,0.33470846717088,0,4.0,0.874722440261189,13,229.0,0.29272126837674345,3,20.0,0.2445092572872661,2,24.0,0.6373393755454076,6,67.0,0.5807509156193651,90,1595.0
130.0,80,942.0,3.514925373134328,6.362113891649475,14,254.0,0.2903121290168789,13,609.0,0.18793712552472308,9,106.0,0.4318615483062424,0,8.0,0.6875313379463048,1,29.0,0.41899969822996097,1,58.0,0.5244706785179766,2,71.0,0.38476887200021664,0,6.0,0.46463741234258576,2,7.0,0.5018075674577258,5,58.0,0.5270574503226954,7,114.0,0.3339847089191088,2,6.0,0.2956745213331934,13,294.0,0.06412577904344922,2,17.0,0.5347731818074277,0,3.0,0.7789771426255959,9,105.0,0.35198402046091437,80,1745.0
135.0,96,1005.0,4.02,6.088949921255213,16,331.0,0.22448694475889006,6,435.0,0.2782570836036443,9,151.0,0.3577810161705024,0,4.0,0.8788038913122904,0,5.0,0.7512136082259551,4,59.0,0.5011975235039212,5,39.0,0.5449505472758635,0,8.0,0.8576781091386165,4,23.0,0.5799495102195691,5,83.0,0.3812025331883798,13,165.0,0.26193500950931636,8,33.0,0.0010458713436079818,7,267.0,0.04687590115398436,2,24.0,0.676080194335381,2,9.0,0.7428990630416393,15,170.0,0.17234277733434386,96,1806.0
140.0,95,1124.0,4.323076923076923,6.017322950240739,18,417.0,0.19489980924103711,3,379.0,0.3351266583199243,9,196.0,0.2223494430014319,0,0.0,0.8248902001516475,3,8.0,0.6100244356974547,8,91.0,0.49199410001478217,3,35.0,0.38158311325846933,0,6.0,0.9134665605348593,0,18.0,0.6996892849386639,7,114.0,0.3472060026150187,12,176.0,0.21420670649853787,8,81.0,0.1410445828823856,1,136.0,0.30240815870488713,1,5.0,0.7250501640174338,3,18.0,0.6281831100090167,19,258.0,0.09133183022563568,95,1938.0
